,asins,colors,dimension,ean,manufacturer,manufacturerNumber,prices.availability,prices.condition,prices.dateAdded,prices.merchant,prices.offer,prices.shipping,upc,weight
asins,1.00,,,,,,,,,,,,,
colors,0.03,1.00,,,,,,,,,,,,
dimension,0.00,0.01,1.00,,,,,,,,,,,
ean,0.06,0.44,0.08,1.00,,,,,,,,,,
manufacturer,0.07,0.39,0.06,0.87,1.00,,,,,,,,,
manufacturerNumber,0.03,0.87,0.19,0.45,0.41,1.00,,,,,,,,
prices.availability,0.00,0.36,0.14,0.09,0.06,0.37,1.00,,,,,,,
prices.condition,0.00,0.36,0.14,0.09,0.06,0.37,1.00,1.00,,,,,,
prices.dateAdded,0.01,-0.49,0.01,0.06,0.05,-0.37,-0.60,-0.61,1.00,,,,,
prices.merchant,0.00,0.36,0.14,0.08,0.06,0.37,1.00,0.99,-0.60,1.00,,,,
prices.offer,0.00,0.19,-0.01,-0.03,-0.03,0.19,0.52,0.52,-0.38,0.52,1.00,,,
prices.shipping,0.00,0.35,0.08,0.04,0.04,0.35,0.95,0.96,-0.63,0.95,0.53,1.00,,
upc,0.00,-0.32,0.02,0.05,0.05,-0.33,-0.89,-0.89,0.67,-0.89,-0.57,-0.93,1.00,
weight,0.10,0.18,0.43,-0.04,-0.03,0.31,0.58,0.58,-0.41,0.58,0.46,0.59,-0.63,1.00
