target,month cycle,week cycle,1db,2db,3db,4db,5db,6db,7db,8db
-660.198507,-26.3611757529412,-105.328679134921,-447.509784,-172.821061,-180.132338,38.5563849999999,-1754.754892,-886.066169,-190.377446,638.311277
-1214.88723,-26.3611757529412,-204.763433880952,-660.198507,-447.509784,-172.821061,-180.132338,38.5563849999999,-1754.754892,-886.066169,-190.377446
-1759.575953,-26.3611757529412,-160.206125134921,-1214.88723,-660.198507,-447.509784,-172.821061,-180.132338,38.5563849999999,-1754.754892,-886.066169
-163.264676,-26.3611757529412,154.306603,-1759.575953,-1214.88723,-660.198507,-447.509784,-172.821061,-180.132338,38.5563849999999,-1754.754892
-751.953399,-26.3611757529412,121.30588,-163.264676,-1759.575953,-1214.88723,-660.198507,-447.509784,-172.821061,-180.132338,38.5563849999999
-203.642122,-26.3611757529412,18.145157,-751.953399,-163.264676,-1759.575953,-1214.88723,-660.198507,-447.509784,-172.821061,-180.132338
-383.330845,-26.3611757529412,179.026710531746,-203.642122,-751.953399,-163.264676,-1759.575953,-1214.88723,-660.198507,-447.509784,-172.821061
-318.019568,-26.3611757529412,-105.328679134921,-383.330845,-203.642122,-751.953399,-163.264676,-1759.575953,-1214.88723,-660.198507,-447.509784
-1164.708291,-26.3611757529412,-204.763433880952,-318.019568,-383.330845,-203.642122,-751.953399,-163.264676,-1759.575953,-1214.88723,-660.198507
-1874.397014,-26.3611757529412,-160.206125134921,-1164.708291,-318.019568,-383.330845,-203.642122,-751.953399,-163.264676,-1759.575953,-1214.88723
-324.085737,-26.3611757529412,154.306603,-1874.397014,-1164.708291,-318.019568,-383.330845,-203.642122,-751.953399,-163.264676,-1759.575953
-616.77446,-26.3611757529412,121.30588,-324.085737,-1874.397014,-1164.708291,-318.019568,-383.330845,-203.642122,-751.953399,-163.264676
-726.463183,-26.3611757529412,18.145157,-616.77446,-324.085737,-1874.397014,-1164.708291,-318.019568,-383.330845,-203.642122,-751.953399
-612.151906,-26.3611757529412,179.026710531746,-726.463183,-616.77446,-324.085737,-1874.397014,-1164.708291,-318.019568,-383.330845,-203.642122
-378.840629,-26.3611757529412,-105.328679134921,-612.151906,-726.463183,-616.77446,-324.085737,-1874.397014,-1164.708291,-318.019568,-383.330845
-1546.529352,-26.3611757529412,-204.763433880952,-378.840629,-612.151906,-726.463183,-616.77446,-324.085737,-1874.397014,-1164.708291,-318.019568
-2150.218075,-26.3611757529412,-160.206125134921,-1546.529352,-378.840629,-612.151906,-726.463183,-616.77446,-324.085737,-1874.397014,-1164.708291
-601.906798,-26.3611757529412,154.306603,-2150.218075,-1546.529352,-378.840629,-612.151906,-726.463183,-616.77446,-324.085737,-1874.397014
-645.595521,-26.3611757529412,121.30588,-601.906798,-2150.218075,-1546.529352,-378.840629,-612.151906,-726.463183,-616.77446,-324.085737
-773.284244,-26.3611757529412,18.145157,-645.595521,-601.906798,-2150.218075,-1546.529352,-378.840629,-612.151906,-726.463183,-616.77446
-557.972967,-543.38655354945,179.026710531746,-773.284244,-645.595521,-601.906798,-2150.218075,-1546.529352,-378.840629,-612.151906,-726.463183
-862.66169,-543.38655354945,-105.328679134921,-557.972967,-773.284244,-645.595521,-601.906798,-2150.218075,-1546.529352,-378.840629,-612.151906
-1488.350413,-543.38655354945,-204.763433880952,-862.66169,-557.972967,-773.284244,-645.595521,-601.906798,-2150.218075,-1546.529352,-378.840629
-2085.039136,-543.38655354945,-160.206125134921,-1488.350413,-862.66169,-557.972967,-773.284244,-645.595521,-601.906798,-2150.218075,-1546.529352
-518.727859,-543.38655354945,154.306603,-2085.039136,-1488.350413,-862.66169,-557.972967,-773.284244,-645.595521,-601.906798,-2150.218075
-25.4165819999998,-543.38655354945,121.30588,-518.727859,-2085.039136,-1488.350413,-862.66169,-557.972967,-773.284244,-645.595521,-601.906798
-237.105305,-543.38655354945,18.145157,-25.4165819999998,-518.727859,-2085.039136,-1488.350413,-862.66169,-557.972967,-773.284244,-645.595521
-466.794028,-543.38655354945,179.026710531746,-237.105305,-25.4165819999998,-518.727859,-2085.039136,-1488.350413,-862.66169,-557.972967,-773.284244
-669.482751,-543.38655354945,-105.328679134921,-466.794028,-237.105305,-25.4165819999998,-518.727859,-2085.039136,-1488.350413,-862.66169,-557.972967
-1380.171474,-543.38655354945,-204.763433880952,-669.482751,-466.794028,-237.105305,-25.4165819999998,-518.727859,-2085.039136,-1488.350413,-862.66169
-1943.860197,-543.38655354945,-160.206125134921,-1380.171474,-669.482751,-466.794028,-237.105305,-25.4165819999998,-518.727859,-2085.039136,-1488.350413
-546.54892,-543.38655354945,154.306603,-1943.860197,-1380.171474,-669.482751,-466.794028,-237.105305,-25.4165819999998,-518.727859,-2085.039136
-994.237643,-543.38655354945,121.30588,-546.54892,-1943.860197,-1380.171474,-669.482751,-466.794028,-237.105305,-25.4165819999998,-518.727859
-784.926366,-543.38655354945,18.145157,-994.237643,-546.54892,-1943.860197,-1380.171474,-669.482751,-466.794028,-237.105305,-25.4165819999998
-430.615089,-543.38655354945,179.026710531746,-784.926366,-994.237643,-546.54892,-1943.860197,-1380.171474,-669.482751,-466.794028,-237.105305
-714.303812,-543.38655354945,-105.328679134921,-430.615089,-784.926366,-994.237643,-546.54892,-1943.860197,-1380.171474,-669.482751,-466.794028
-1588.992535,-543.38655354945,-204.763433880952,-714.303812,-430.615089,-784.926366,-994.237643,-546.54892,-1943.860197,-1380.171474,-669.482751
-2114.681258,-543.38655354945,-160.206125134921,-1588.992535,-714.303812,-430.615089,-784.926366,-994.237643,-546.54892,-1943.860197,-1380.171474
-486.369981,-543.38655354945,154.306603,-2114.681258,-1588.992535,-714.303812,-430.615089,-784.926366,-994.237643,-546.54892,-1943.860197
-497.058704,-543.38655354945,121.30588,-486.369981,-2114.681258,-1588.992535,-714.303812,-430.615089,-784.926366,-994.237643,-546.54892
-777.747427,-543.38655354945,18.145157,-497.058704,-486.369981,-2114.681258,-1588.992535,-714.303812,-430.615089,-784.926366,-994.237643
-428.43615,-543.38655354945,179.026710531746,-777.747427,-497.058704,-486.369981,-2114.681258,-1588.992535,-714.303812,-430.615089,-784.926366
-396.124873,-543.38655354945,-105.328679134921,-428.43615,-777.747427,-497.058704,-486.369981,-2114.681258,-1588.992535,-714.303812,-430.615089
