,Value,Holiday,M-1112,M-45,M-121,WeekDay,WeekEnd,Day,Month,LastDays,summerBreak,FirstMonth,LastMonth,SummerWinter,FirstHalf,Season1_2,Season2_1,weekOfMonth,DayLength
Value,1.0,0.11195226416710347,0.2608879078609528,0.31884889525546833,0.48726130202000956,0.39891125761793733,0.43917322196787434,0.05801414742440908,0.10638880868351308,0.06667017817990874,0.23257021799900995,0.33694784201545197,0.3254812035683494,0.30841040422547705,0.17130097673301617,0.3384463915596797,0.4260397039156703,0.1484547672092971,0.3987880133644128
Holiday,0.11195226416710347,1.0,0.061430560073701644,0.058059219803908914,0.0330786544676816,0.0742329302762894,0.041169361950965426,0.04307150403297599,0.03879293077214529,0.06889476736631849,0.0965613694447784,0.02248512391337291,0.022485123913372904,0.14012069278018774,0.04881107194343866,0.06357150152136151,0.07918961204245224,0.053138618709421284,0.12597822440500794
M-1112,0.2608879078609528,0.061430560073701644,1.0,0.18486498008261457,0.4262059569914179,0.009758284576362637,0.010587280831932418,0.004028134934251504,0.6132257002726442,0.004861534005542077,0.20840012891862417,0.11006339346848706,0.6894880351166388,0.410132767692797,0.41200490250641875,0.2273491174321768,0.2577382386809912,0.06372092233954135,0.5305668280485073
M-45,0.31884889525546833,0.058059219803908914,0.18486498008261457,1.0,0.1875141012833129,0.008092053028403795,0.014939843644407725,0.013493766819912247,0.2579489609252263,0.003351842179664084,0.23914090675583327,0.12746219187903857,0.1274621918790385,0.4507442336845528,0.4486960688040232,0.8131326049143953,0.2584236806363038,0.02724304624368126,0.35682542628180935
M-121,0.48726130202000956,0.0330786544676816,0.4262059569914179,0.1875141012833129,1.0,0.006760123905485173,0.002955244703000095,0.016599688874988548,0.022256584904880885,0.01937449405455122,0.21138650957059996,0.6797472350437122,0.6797472350437122,0.41600998364527486,0.012454240118897812,0.2306070377082642,0.7256072695103113,0.03506598155371326,0.5767164505592947
WeekDay,0.39891125761793733,0.0742329302762894,0.009758284576362637,0.008092053028403795,0.006760123905485173,1.0,0.7895891496320623,0.0007812138082319796,0.0007592907664126783,0.00511620199015757,0.005158435620456935,0.007934243563432948,0.0012561075031799452,0.00696133476651736,0.0032813075298422155,0.007898568239506909,0.003885544798574927,0.20805059386318075,0.007159175773537608
WeekEnd,0.43917322196787434,0.041169361950965426,0.010587280831932418,0.014939843644407725,0.002955244703000095,0.7895891496320623,1.0,0.00262202981035614,0.006832553327228021,0.009063111518325508,0.010342537029195468,0.016764409385968043,0.012746770554484284,0.0039499571456573955,0.0017888915426382318,0.0081661271248804,0.0018913813087889193,0.16216286111607514,0.0051041749845185886
Day,0.05801414742440908,0.04307150403297599,0.004028134934251504,0.013493766819912247,0.016599688874988548,0.0007812138082319796,0.00262202981035614,1.0,0.007410163127289995,0.6110762203656982,0.005021756544913763,0.011283592615359357,0.01128359261535935,0.02349202469780371,0.019617633969460212,0.014448878288731678,0.01131249899607034,0.9548112643516521,0.0051732798446691205
Month,0.10638880868351308,0.03879293077214529,0.6132257002726442,0.2579489609252263,0.022256584904880885,0.0007592907664126783,0.006832553327228021,0.007410163127289995,1.0,0.018269829682967777,0.05163290670614761,0.43221325950086575,0.4624709636020817,0.07687173502093383,0.8799485500275874,0.24342151134814768,0.27112274110706097,0.025300599375025587,0.0729538167833185
LastDays,0.06667017817990874,0.06889476736631849,0.004861534005542077,0.003351842179664084,0.01937449405455122,0.00511620199015757,0.009063111518325508,0.6110762203656982,0.018269829682967777,1.0,0.006607681257520929,0.013169758763952048,0.013169758763952032,0.01190201299811058,0.02234126340626982,0.008007511304703329,0.024298809416265787,0.5830703325362845,0.003215425214851138
