,Date,Value,Holiday,M-1112,M-45,M-121,WeekDay,WeekEnd,Day,Month,LastDays,summerBreak,FirstMonth,LastMonth,SummerWinter,FirstHalf,Season1_2,Season2_1,weekOfMonth,DayLength
0,2018-02-01,1213.9397042093287,0,False,False,False,3,0,1,2,False,False,False,False,1,True,0,1,1,34
1,2018-02-02,383.93970420932874,0,False,False,False,4,0,2,2,False,False,False,False,1,True,0,1,1,34
2,2018-02-03,-313.06029579067126,0,False,False,False,5,1,3,2,False,False,False,False,1,True,0,1,1,34
3,2018-02-04,-1183.0602957906713,0,False,False,False,6,1,4,2,False,False,False,False,1,True,0,1,1,34
4,2018-02-05,608.9397042093287,0,False,False,False,0,0,5,2,False,False,False,False,1,True,0,1,2,34
5,2018-02-06,388.93970420932874,0,False,False,False,1,0,6,2,False,False,False,False,1,True,0,1,2,34
6,2018-02-07,394.93970420932874,0,False,False,False,2,0,7,2,False,False,False,False,1,True,0,1,2,34
7,2018-02-08,118.93970420932874,0,False,False,False,3,0,8,2,False,False,False,False,1,True,0,1,2,34
8,2018-02-09,-95.06029579067126,0,False,False,False,4,0,9,2,False,False,False,False,1,True,0,1,2,34
9,2018-02-10,-651.0602957906713,0,False,False,False,5,1,10,2,False,False,False,False,1,True,0,1,2,34
10,2018-02-11,-1197.0602957906713,0,False,False,False,6,1,11,2,False,False,False,False,1,True,0,1,2,34
11,2018-02-12,397.93970420932874,0,False,False,False,0,0,12,2,False,False,False,False,1,True,0,1,3,34
12,2018-02-13,-192.06029579067126,0,False,False,False,1,0,13,2,False,False,False,False,1,True,0,1,3,34
13,2018-02-14,354.93970420932874,0,False,False,False,2,0,14,2,False,False,False,False,1,True,0,1,3,34
14,2018-02-15,173.93970420932874,0,False,False,False,3,0,15,2,False,False,False,False,1,True,0,1,3,34
15,2018-02-16,237.93970420932874,0,False,False,False,4,0,16,2,False,False,False,False,1,True,0,1,3,34
16,2018-02-17,-610.0602957906713,0,False,False,False,5,1,17,2,False,False,False,False,1,True,0,1,3,34
17,2018-02-18,-1321.0602957906713,0,False,False,False,6,1,18,2,False,False,False,False,1,True,0,1,3,34
18,2018-02-19,227.93970420932874,0,False,False,False,0,0,19,2,False,False,False,False,1,True,0,1,4,34
19,2018-02-20,-66.06029579067126,0,False,False,False,1,0,20,2,False,False,False,False,1,True,0,1,4,34
20,2018-02-21,-177.06029579067126,0,False,False,False,2,0,21,2,False,False,False,False,1,True,0,1,4,34
21,2018-02-22,-64.06029579067126,0,False,False,False,3,0,22,2,False,False,False,False,1,True,0,1,4,34
22,2018-02-23,167.93970420932874,0,False,False,False,4,0,23,2,False,False,False,False,1,True,0,1,4,34
23,2018-02-24,-1001.0602957906713,0,False,False,False,5,1,24,2,False,False,False,False,1,True,0,1,4,35
24,2018-02-25,-1606.0602957906713,0,False,False,False,6,1,25,2,False,False,False,False,1,True,0,1,4,35
25,2018-02-26,-59.06029579067126,0,False,False,False,0,0,26,2,False,False,False,False,1,True,0,1,5,35
26,2018-02-27,-104.06029579067126,0,False,False,False,1,0,27,2,True,False,False,False,1,True,0,1,5,35
27,2018-02-28,-233.06029579067126,0,False,False,False,2,0,28,2,True,False,False,False,1,True,0,1,5,35
28,2018-03-01,-19.060295790671262,0,False,False,False,3,0,1,3,False,False,False,False,1,True,0,0,1,35
29,2018-03-02,-325.06029579067126,0,False,False,False,4,0,2,3,False,False,False,False,1,True,0,0,1,35
30,2018-03-03,-952.0602957906713,0,False,False,False,5,1,3,3,False,False,False,False,1,True,0,0,1,35
31,2018-03-04,-1550.0602957906713,0,False,False,False,6,1,4,3,False,False,False,False,1,True,0,0,1,35
32,2018-03-05,14.939704209328738,0,False,False,False,0,0,5,3,False,False,False,False,1,True,0,0,2,35
33,2018-03-06,506.93970420932874,0,False,False,False,1,0,6,3,False,False,False,False,1,True,0,0,2,35
34,2018-03-07,293.93970420932874,0,False,False,False,2,0,7,3,False,False,False,False,1,True,0,0,2,35
35,2018-03-08,62.93970420932874,0,False,False,False,3,0,8,3,False,False,False,False,1,True,0,0,2,35
36,2018-03-09,-141.06029579067126,0,False,False,False,4,0,9,3,False,False,False,False,1,True,0,0,2,35
37,2018-03-10,-853.0602957906713,0,False,False,False,5,1,10,3,False,False,False,False,1,True,0,0,2,35
38,2018-03-11,-1418.0602957906713,0,False,False,False,6,1,11,3,False,False,False,False,1,True,0,0,2,35
39,2018-03-12,-22.060295790671262,0,False,False,False,0,0,12,3,False,False,False,False,1,True,0,0,3,35
40,2018-03-13,-471.06029579067126,0,False,False,False,1,0,13,3,False,False,False,False,1,True,0,0,3,35
41,2018-03-14,-263.06029579067126,0,False,False,False,2,0,14,3,False,False,False,False,1,True,0,0,3,35
42,2018-03-15,89.93970420932874,0,False,False,False,3,0,15,3,False,False,False,False,1,True,0,0,3,35
43,2018-03-16,-195.06029579067126,0,False,False,False,4,0,16,3,False,False,False,False,1,True,0,0,3,35
44,2018-03-17,-1071.0602957906713,0,False,False,False,5,1,17,3,False,False,False,False,1,True,0,0,3,35
45,2018-03-18,-1598.0602957906713,0,False,False,False,6,1,18,3,False,False,False,False,1,True,0,0,3,36
46,2018-03-19,28.939704209328738,0,False,False,False,0,0,19,3,False,False,False,False,1,True,0,0,4,36
47,2018-03-20,16.939704209328738,0,False,False,False,1,0,20,3,False,False,False,False,1,True,0,0,4,36
48,2018-03-21,-265.06029579067126,0,False,False,False,2,0,21,3,False,False,False,False,1,True,0,0,4,36
49,2018-03-22,82.93970420932874,0,False,False,False,3,0,22,3,False,False,False,False,1,True,0,0,4,36
50,2018-03-23,113.93970420932874,0,False,False,False,4,0,23,3,False,False,False,False,1,True,0,0,4,36
51,2018-03-24,-1278.0602957906713,0,False,False,False,5,1,24,3,False,False,False,False,1,True,0,0,4,36
52,2018-03-25,-1664.0602957906713,0,False,False,False,6,1,25,3,False,False,False,False,1,True,0,0,4,36
53,2018-03-26,11.939704209328738,0,False,False,False,0,0,26,3,False,False,False,False,1,True,0,0,5,36
54,2018-03-27,-336.06029579067126,0,False,False,False,1,0,27,3,True,False,False,False,1,True,0,0,5,36
55,2018-03-28,-138.06029579067126,0,False,False,False,2,0,28,3,True,False,False,False,1,True,0,0,5,36
56,2018-03-29,-59.06029579067126,0,False,False,False,3,0,29,3,True,False,False,False,1,True,0,0,5,36
57,2018-03-30,-168.06029579067126,0,False,False,False,4,0,30,3,True,False,False,False,1,True,0,0,5,36
58,2018-03-31,-1045.0602957906713,0,False,False,False,5,1,31,3,True,False,False,False,1,True,0,0,5,36
59,2018-04-01,-1334.0602957906713,0,False,True,False,6,1,1,4,False,False,False,False,0,True,1,0,1,36
60,2018-04-02,334.93970420932874,0,False,True,False,0,0,2,4,False,False,False,False,0,True,1,0,2,36
61,2018-04-03,-146.06029579067126,0,False,True,False,1,0,3,4,False,False,False,False,0,True,1,0,2,36
62,2018-04-04,118.93970420932874,0,False,True,False,2,0,4,4,False,False,False,False,0,True,1,0,2,36
63,2018-04-05,-22.060295790671262,0,False,True,False,3,0,5,4,False,False,False,False,0,True,1,0,2,36
64,2018-04-06,6.939704209328738,0,False,True,False,4,0,6,4,False,False,False,False,0,True,1,0,2,36
65,2018-04-07,-877.0602957906713,0,False,True,False,5,1,7,4,False,False,False,False,0,True,1,0,2,36
66,2018-04-08,-1326.0602957906713,0,False,True,False,6,1,8,4,False,False,False,False,0,True,1,0,2,36
67,2018-04-09,465.93970420932874,0,False,True,False,0,0,9,4,False,False,False,False,0,True,1,0,3,37
68,2018-04-10,463.93970420932874,0,False,True,False,1,0,10,4,False,False,False,False,0,True,1,0,3,37
69,2018-04-11,439.93970420932874,0,False,True,False,2,0,11,4,False,False,False,False,0,True,1,0,3,37
70,2018-04-12,84.93970420932874,0,False,True,False,3,0,12,4,False,False,False,False,0,True,1,0,3,37
71,2018-04-13,82.93970420932874,0,False,True,False,4,0,13,4,False,False,False,False,0,True,1,0,3,37
72,2018-04-14,-768.0602957906713,0,False,True,False,5,1,14,4,False,False,False,False,0,True,1,0,3,37
73,2018-04-15,-1370.0602957906713,0,False,True,False,6,1,15,4,False,False,False,False,0,True,1,0,3,37
