,LAG1,LAG2,LAG180,LAG365,MA3,MA5,MA7,MA30,MAP7-3,M-X,M-Y,DE-TREND,DATE
2557099,-5.27829815349539,-10.778182744425383,10.797915625591212,-7.014067029791049,-6.537557412754649,-10.611516077758719,-11.92886098614903,-9.99525864956883,-16.07137190179615,True,False,-3.5561913403431724,1996-01-01
2557100,-3.5561913403431724,-5.27829815349539,10.353355772076753,-6.347515772194386,-3.945080229232063,-7.900520375717614,-10.119452585695226,-9.875003688268468,-15.587360326739178,True,False,-3.000751193857626,1996-01-02
2557101,-3.000751193857626,-3.5561913403431724,7.853240363006748,-10.625408959042172,-3.70445489756133,-5.433969118120954,-8.659250534447771,-9.904748726968103,-13.86525351358696,True,False,-4.5564221584831905,1996-01-03
2557102,-4.5564221584831905,-3.000751193857626,9.464236065047857,-13.903302145889953,-7.05642215848319,-6.000751193857627,-8.238731022882858,-10.234493765667738,-11.92886098614903,True,False,-13.61209312310875,1996-01-04
2557103,-13.61209312310875,-4.5564221584831905,9.186342878200072,-15.847861999404405,-10.426907937923566,-7.5675332695943,-7.699163892270325,-10.517942508071078,-10.119452585695225,True,False,-13.112208532178755,1996-01-05
2557104,-13.112208532178755,-13.61209312310875,9.852894135796735,-13.236866297363296,-12.79739371736394,-9.189870900886529,-7.826263428324458,-10.690280139363304,-8.659250534447773,True,False,-11.667879496804316,1996-01-06
2557105,-11.667879496804316,-13.112208532178755,10.075000948948947,-0.07031503976664055,-12.37158320050802,-11.056652976623202,-8.834315345330971,-10.673728881766642,-8.238731022882856,True,False,-12.33466157254099,1996-01-07
2557106,-12.33466157254099,-11.667879496804316,7.630441095434502,-11.514874893281089,-14.408735646615062,-13.99010171902654,-11.072525992496216,-11.029399846392206,-7.699163892270325,True,False,-19.223665870499882,1996-01-08
2557107,-19.223665870499882,-12.33466157254099,8.630325686364493,-12.23721252457332,-16.094036240870253,-14.612439350318766,-13.032958861883682,-11.177663403610358,-7.8262634283244585,True,False,-16.723781279569888,1996-01-09
2557108,-16.723781279569888,-19.223665870499882,8.685765832850041,-9.348439044754434,-15.72378127956989,-14.234776981610995,-13.985455223334638,-11.01296399786555,-8.834315345330971,True,False,-11.223896688639895,1996-01-10
2557109,-11.223896688639895,-16.723781279569888,9.630094868224482,-7.570776676046664,-14.00167446641767,-14.712670168458777,-14.049062695896707,-11.013079406935557,-11.072525992496216,True,False,-14.057345431043231,1996-01-11
2557110,-14.057345431043231,-11.223896688639895,10.907757236932252,-3.4597809740055556,-11.779567653265454,-14.257230021973228,-13.612670168458777,-10.97245407526482,-13.032958861883682,True,False,-10.057460840113238,1996-01-12
2557111,-10.057460840113238,-14.057345431043231,8.9631973834178,-1.6821186052977843,-12.075979358631756,-12.835123208821011,-13.676277641020848,-11.168865780631124,-13.985455223334641,True,False,-12.113131804738801,1996-01-13
2557112,-12.113131804738801,-10.057460840113238,10.018637529903351,1.3733215411877673,-10.502020693627687,-11.357460840113239,-13.247821621519423,-11.354166374886315,-14.049062695896708,True,False,-9.335469436031028,1996-01-14
