,TREND
2557099,18.33396911812095
2557100,18.33408452719096
2557101,18.334199936260966
2557102,18.33431534533097
2557103,18.334430754400977
2557104,18.334546163470982
2557105,18.334661572540988
2557106,18.334776981610993
2557107,18.334892390681
2557108,18.335007799751004
2557109,18.33512320882101
2557110,18.335238617891015
2557111,18.335354026961024
2557112,18.33546943603103
2557113,18.335584845101035
2557114,18.33570025417104
2557115,18.335815663241046
2557116,18.335931072311052
2557117,18.336046481381057
2557118,18.336161890451063
2557119,18.33627729952107
2557120,18.336392708591074
2557121,18.33650811766108
2557122,18.33662352673109
2557123,18.336738935801094
2557124,18.3368543448711
2557125,18.336969753941105
2557126,18.33708516301111
2557127,18.337200572081116
2557128,18.33731598115112
2557129,18.337431390221127
2557130,18.337546799291133
2557131,18.337662208361138
2557132,18.337777617431144
2557133,18.33789302650115
2557134,18.338008435571158
2557135,18.338123844641164
2557136,18.33823925371117
2557137,18.338354662781175
2557138,18.33847007185118
2557139,18.338585480921186
2557140,18.33870088999119
2557141,18.338816299061197
2557142,18.338931708131202
2557143,18.339047117201208
2557144,18.339162526271213
2557145,18.339277935341222
2557146,18.339393344411228
2557147,18.339508753481233
2557148,18.33962416255124
2557149,18.339739571621244
2557150,18.33985498069125
2557151,18.339970389761255
2557152,18.34008579883126
2557153,18.340201207901266
2557154,18.340316616971272
2557155,18.340432026041277
2557156,18.340547435111286
2557157,18.340662844181292
2557158,18.340778253251298
2557159,18.340893662321303
2557160,18.34100907139131
2557161,18.341124480461314
2557162,18.34123988953132
2557163,18.341355298601325
2557164,18.34147070767133
2557165,18.341586116741336
2557166,18.34170152581134
2557167,18.34181693488135
2557168,18.341932343951356
2557169,18.34204775302136
2557170,18.342163162091367
2557171,18.342278571161373
2557172,18.34239398023138
2557173,18.342509389301384
2557174,18.34262479837139
2557175,18.342740207441395
2557176,18.3428556165114
2557177,18.342971025581406
2557178,18.34308643465141
2557179,18.34320184372142
2557180,18.343317252791426
2557181,18.34343266186143
2557182,18.343548070931437
2557183,18.343663480001442
2557184,18.343778889071448
2557185,18.343894298141453
2557186,18.34400970721146
2557187,18.344125116281464
2557188,18.34424052535147
2557189,18.344355934421475
2557190,18.344471343491485
2557191,18.34458675256149
2557192,18.344702161631496
2557193,18.3448175707015
2557194,18.344932979771507
2557195,18.345048388841512
2557196,18.345163797911518
2557197,18.345279206981523
2557198,18.34539461605153
2557199,18.345510025121534
2557200,18.34562543419154
2557201,18.34574084326155
2557202,18.345856252331554
2557203,18.34597166140156
2557204,18.346087070471565
2557205,18.34620247954157
2557206,18.346317888611576
2557207,18.346433297681582
2557208,18.346548706751587
2557209,18.346664115821593
2557210,18.3467795248916
2557211,18.346894933961604
2557212,18.347010343031613
2557213,18.34712575210162
2557214,18.347241161171624
2557215,18.34735657024163
2557216,18.347471979311635
2557217,18.34758738838164
2557218,18.347702797451646
2557219,18.34781820652165
2557220,18.347933615591657
2557221,18.348049024661663
2557222,18.348164433731668
2557223,18.348279842801674
2557224,18.348395251871683
2557225,18.348510660941688
2557226,18.348626070011694
2557227,18.3487414790817
2557228,18.348856888151705
2557229,18.34897229722171
2557230,18.349087706291716
2557231,18.34920311536172
2557232,18.349318524431727
2557233,18.349433933501732
2557234,18.349549342571738
2557235,18.349664751641747
2557236,18.349780160711752
2557237,18.349895569781758
2557238,18.350010978851763
2557239,18.35012638792177
2557240,18.350241796991774
2557241,18.35035720606178
2557242,18.350472615131785
2557243,18.35058802420179
2557244,18.350703433271796
2557245,18.350818842341802
2557246,18.35093425141181
2557247,18.351049660481817
2557248,18.351165069551822
2557249,18.351280478621828
2557250,18.351395887691833
2557251,18.35151129676184
2557252,18.351626705831844
2557253,18.35174211490185
2557254,18.351857523971855
2557255,18.35197293304186
2557256,18.352088342111866
2557257,18.352203751181875
2557258,18.35231916025188
2557259,18.352434569321886
2557260,18.35254997839189
2557261,18.352665387461897
2557262,18.352780796531903
2557263,18.35289620560191
2557264,18.353011614671914
2557265,18.35312702374192
2557266,18.353242432811925
2557267,18.35335784188193
2557268,18.353473250951936
2557269,18.353588660021945
2557270,18.35370406909195
2557271,18.353819478161956
2557272,18.35393488723196
2557273,18.354050296301967
2557274,18.354165705371972
2557275,18.354281114441978
2557276,18.354396523511983
2557277,18.35451193258199
2557278,18.354627341651994
2557279,18.354742750722
2557280,18.35485815979201
2557281,18.354973568862015
2557282,18.35508897793202
2557283,18.355204387002026
2557284,18.35531979607203
2557285,18.355435205142037
2557286,18.355550614212042
2557287,18.355666023282048
2557288,18.355781432352053
2557289,18.35589684142206
2557290,18.356012250492064
2557291,18.356127659562073
2557292,18.35624306863208
2557293,18.356358477702084
2557294,18.35647388677209
2557295,18.356589295842095
2557296,18.3567047049121
2557297,18.356820113982106
2557298,18.356935523052112
2557299,18.357050932122117
2557300,18.357166341192123
2557301,18.35728175026213
2557302,18.357397159332137
2557303,18.357512568402143
2557304,18.35762797747215
2557305,18.357743386542154
2557306,18.35785879561216
2557307,18.357974204682165
2557308,18.35808961375217
2557309,18.358205022822176
2557310,18.35832043189218
2557311,18.358435840962187
2557312,18.358551250032193
2557313,18.358666659102198
2557314,18.358782068172207
2557315,18.358897477242213
2557316,18.359012886312218
2557317,18.359128295382224
2557318,18.35924370445223
2557319,18.359359113522235
2557320,18.35947452259224
2557321,18.359589931662246
2557322,18.35970534073225
2557323,18.359820749802257
2557324,18.359936158872262
2557325,18.36005156794227
2557326,18.360166977012277
2557327,18.360282386082282
2557328,18.360397795152288
2557329,18.360513204222293
2557330,18.3606286132923
2557331,18.360744022362304
2557332,18.36085943143231
2557333,18.360974840502315
2557334,18.36109024957232
2557335,18.361205658642326
2557336,18.361321067712336
2557337,18.36143647678234
2557338,18.361551885852347
2557339,18.361667294922352
2557340,18.361782703992358
2557341,18.361898113062363
2557342,18.36201352213237
2557343,18.362128931202374
2557344,18.36224434027238
2557345,18.362359749342385
2557346,18.36247515841239
2557347,18.3625905674824
2557348,18.362705976552405
2557349,18.36282138562241
2557350,18.362936794692416
2557351,18.36305220376242
2557352,18.363167612832427
2557353,18.363283021902433
2557354,18.36339843097244
2557355,18.363513840042444
2557356,18.36362924911245
2557357,18.363744658182455
2557358,18.36386006725246
2557359,18.36397547632247
2557360,18.364090885392475
2557361,18.36420629446248
2557362,18.364321703532486
2557363,18.36443711260249
2557364,18.364552521672497
2557365,18.364667930742502
2557366,18.364783339812508
2557367,18.364898748882514
2557368,18.36501415795252
2557369,18.365129567022525
2557370,18.365244976092534
2557371,18.36536038516254
2557372,18.365475794232545
2557373,18.36559120330255
