,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,city_value,statezip_value
price,1.0,0.20033628937567646,0.3271099182877348,0.4304100254326265,0.050451295032349026,0.15146080053677802,0.13564832245848626,0.22850417280567392,0.03491453732641387,0.3675696016004266,0.21042657177482854,0.021856830395478113,-0.028773645398858655,0.32789314418069565,0.4176997009464156
bedrooms,0.20033628937567646,1.0,0.5459199258493332,0.5948840591333131,0.06881935454737724,0.17789490275593442,-0.0034827936643614834,0.11102800021397184,0.025079855790501017,0.48470534202814697,0.334165245943449,0.1424610413499361,-0.06108156641915605,0.1202030934922945,0.13417627460421735
bathrooms,0.3271099182877348,0.5459199258493332,1.0,0.7611537029865657,0.10783747933619803,0.4864275668023073,0.07623224723110027,0.21196024794673404,-0.1199943414844741,0.6899184083363791,0.2980201845622332,0.46349768220306947,-0.215886240545346,0.18825611027607586,0.2463026539195021
sqft_living,0.4304100254326265,0.5948840591333131,0.7611537029865657,1.0,0.21053845434874552,0.3448502667131119,0.11761600593972611,0.3110094436406803,-0.06282597880203601,0.8764432459511062,0.4472055385387707,0.2877752242590346,-0.12281687576326326,0.2662869471921062,0.31487316330939413
sqft_lot,0.050451295032349026,0.06881935454737724,0.10783747933619803,0.21053845434874552,1.0,0.0037497498258787093,0.017241053630049942,0.07390674115690525,0.000558113960552622,0.21645465137446918,0.03484230298732272,0.05070634599775985,-0.02273030883104043,-0.030018666355458398,-0.02108401297285833
floors,0.15146080053677802,0.17789490275593442,0.4864275668023073,0.3448502667131119,0.0037497498258787093,1.0,0.022023786381192737,0.031210952607680226,-0.27501339489494886,0.5228137353198299,-0.2555098241454213,0.4674806648225433,-0.2339956749907893,0.07115653560282782,0.150571125627666
waterfront,0.13564832245848626,-0.0034827936643614834,0.07623224723110027,0.11761600593972611,0.017241053630049942,0.022023786381192737,1.0,0.36093476054382195,0.0003522820082941164,0.07891112911345316,0.0975009547394282,-0.02356344387867542,0.0086246204044348,0.03065956003221096,0.026378276612268305
view,0.22850417280567392,0.11102800021397184,0.21196024794673404,0.3110094436406803,0.07390674115690525,0.031210952607680226,0.36093476054382195,1.0,0.06307728091807929,0.17432670794935246,0.3216017990055972,-0.06446506470662171,0.022966998723066106,0.08695619537351969,0.11449306574336188
condition,0.03491453732641387,0.025079855790501017,-0.1199943414844741,-0.06282597880203601,0.000558113960552622,-0.27501339489494886,0.0003522820082941164,0.06307728091807929,1.0,-0.178196344408167,0.20063234977551442,-0.3996982344974224,-0.1868184143968633,0.05068294736745725,0.05822673294750596
sqft_above,0.3675696016004266,0.48470534202814697,0.6899184083363791,0.8764432459511062,0.21645465137446918,0.5228137353198299,0.07891112911345316,0.17432670794935246,-0.178196344408167,1.0,-0.03872298989128191,0.408535206561315,-0.16042556318614568,0.20120500729243126,0.25712113822362054
sqft_basement,0.21042657177482854,0.334165245943449,0.2980201845622332,0.4472055385387707,0.03484230298732272,-0.2555098241454213,0.0975009547394282,0.3216017990055972,0.20063234977551442,-0.03872298989128191,1.0,-0.1616748029797496,0.0431249173157409,0.1788624329081071,0.17582330150358047
yr_built,0.021856830395478113,0.1424610413499361,0.46349768220306947,0.2877752242590346,0.05070634599775985,0.4674806648225433,-0.02356344387867542,-0.06446506470662171,-0.3996982344974224,0.408535206561315,-0.1616748029797496,1.0,-0.32134228287974337,-0.037870362621389264,-0.05433702574441194
yr_renovated,-0.028773645398858655,-0.06108156641915605,-0.215886240545346,-0.12281687576326326,-0.02273030883104043,-0.2339956749907893,0.0086246204044348,0.022966998723066106,-0.1868184143968633,-0.16042556318614568,0.0431249173157409,-0.32134228287974337,1.0,0.005040726139883689,-0.01804707397677727
city_value,0.32789314418069565,0.1202030934922945,0.18825611027607586,0.2662869471921062,-0.030018666355458398,0.07115653560282782,0.03065956003221096,0.08695619537351969,0.05068294736745725,0.20120500729243126,0.1788624329081071,-0.037870362621389264,0.005040726139883689,1.0,0.7719114114640072
statezip_value,0.4176997009464156,0.13417627460421735,0.2463026539195021,0.31487316330939413,-0.02108401297285833,0.150571125627666,0.026378276612268305,0.11449306574336188,0.05822673294750596,0.25712113822362054,0.17582330150358047,-0.05433702574441194,-0.01804707397677727,0.7719114114640072,1.0
