,rev_Mean,mou_Mean,totmrc_Mean,da_Mean,ovrmou_Mean,ovrrev_Mean,vceovr_Mean,datovr_Mean,roam_Mean,change_mou,change_rev,drop_vce_Mean,drop_dat_Mean,blck_vce_Mean,blck_dat_Mean,unan_vce_Mean,unan_dat_Mean,plcd_vce_Mean,plcd_dat_Mean,recv_vce_Mean,recv_sms_Mean,comp_vce_Mean,comp_dat_Mean,custcare_Mean,ccrndmou_Mean,cc_mou_Mean,inonemin_Mean,threeway_Mean,mou_cvce_Mean,mou_cdat_Mean,mou_rvce_Mean,owylis_vce_Mean,mouowylisv_Mean,iwylis_vce_Mean,mouiwylisv_Mean,peak_vce_Mean,peak_dat_Mean,mou_peav_Mean,mou_pead_Mean,opk_vce_Mean,opk_dat_Mean,mou_opkv_Mean,mou_opkd_Mean,drop_blk_Mean,attempt_Mean,complete_Mean,callfwdv_Mean,callwait_Mean,months,uniqsubs,actvsubs,totcalls,totmou,totrev,adjrev,adjmou,adjqty,avgrev,avgmou,avgqty,avg3mou,avg3qty,avg3rev,avg6mou,avg6qty,avg6rev,hnd_price,phones,models,truck,rv,lor,adults,income,numbcars,forgntvl,eqpdays
rev_Mean,1.0,0.7298420103333644,0.6693735735147359,0.3982414428606967,0.8004727166400778,0.7928978128687504,0.790264011246673,0.11916715756211078,0.26075049543380807,-0.027573055040876423,-0.06146934850985387,0.45286596750277064,0.06701454761892298,0.259315720388803,0.027095934663128905,0.466932278340047,0.03776474728238217,0.6206541004480575,0.08817112147348452,0.5131415195845842,0.027292303150397088,0.6325630912036284,0.0868266518695043,0.1627110542086882,0.2501256380000583,0.25294934874042907,0.4075586238251505,0.20902304110216868,0.6119817204511508,0.07540291089737604,0.6319660384196297,0.5240676593503616,0.488057145885772,0.3926219394823962,0.3823110936388486,0.6667450384452638,0.08559821833442255,0.726664467243654,0.0777274933572691,0.4695111523835249,0.07894442012073126,0.45943138826608654,0.06629612107484469,0.4497291758210173,0.621519969114863,0.6332618493516774,-0.0007591197616405571,0.48752495767322573,0.03318523480250071,-0.0042356611436857,-0.03373931655483479,0.4619709887873239,0.5368608712312752,0.5846447258611779,0.5805498799094675,0.5370514293549771,0.4621627172398044,0.8123826929801077,0.6316608658582703,0.5802980624981765,0.7194162296044673,0.6538537478939113,0.9677084667726598,0.681362766531893,0.6236662595620953,0.9078270424756814,0.17743610217171402,0.274435406143069,0.2679328290943273,-0.02478018660079002,0.006201934933766634,-0.05541672306875544,-0.016546714947102657,-0.031120488053595553,0.003202282412525601,-0.03571743920903636,-0.21972608817972342
mou_Mean,0.7298420103333644,1.0,0.5867771424931009,0.395266993449044,0.5798788133144128,0.5435978565739119,0.5416821964564282,0.083480073939815,0.12433825323914498,-0.04540042801749649,-0.0592603275925216,0.6054986798345651,0.0778842681358593,0.34091238908160787,0.03474639845997342,0.6502180592608316,0.05276214057854344,0.8322087973333171,0.11083875371863193,0.6984016621897324,0.027134103850479537,0.841439247527382,0.1090664247717357,0.32661490423217826,0.39223838224220137,0.3824188279102801,0.5706859057936217,0.2880270230843519,0.8630007712481809,0.10379506170851995,0.8365229185080512,0.7088247556656078,0.6626535474643015,0.5687190414969151,0.5568829374041545,0.7859337434413838,0.09950054382224545,0.8194433069129077,0.08988631325091066,0.753191684381432,0.10550638533966136,0.8053718800468619,0.09996619159099379,0.5969931027760254,0.8329491246034769,0.8419138812425074,0.0041193022140904555,0.6374862947565565,-0.02150219798889401,-0.023801106546334924,-0.05882701263544185,0.6007634453170926,0.7073177679949932,0.5024477379057731,0.49718786532724857,0.707695182479457,0.6010048608386076,0.7145720115961299,0.9009179926667376,0.7989819570155944,0.9882136185306646,0.8720879929142811,0.7112885571162499,0.9613435349534715,0.8502889678141546,0.7196290795998803,0.2163840100228365,0.3331144487083432,0.32360593287997486,-0.02975744615078327,-0.0035939875977743464,-0.06836666212562607,0.004663212043674338,-0.08714141194303014,0.016158968253205785,-0.03718156829460213,-0.3005064902178441
totmrc_Mean,0.6693735735147359,0.5867771424931009,1.0,0.29962805327658804,0.22071787942352028,0.18225227463693341,0.1810678951650844,0.03553889294065716,0.09446497917260029,-0.0055962098814822895,-0.03038008745954748,0.3628286046231272,0.06601247358987622,0.19683739945277196,0.019408851514694226,0.3586522062840131,0.036261893937015094,0.4940744811824373,0.08455402712562321,0.4074554238004716,0.031927144321899074,0.5083082612101877,0.0835695359236381,0.13293529293561757,0.19063235549371832,0.1927776144025089,0.32373676650490063,0.1542983870092142,0.49983880820090154,0.07736204162456735,0.48536817199869875,0.4128214468665693,0.3873671768207892,0.3088779876442828,0.30065242539993153,0.5575289079168974,0.09083881568356375,0.604191647628832,0.08736865078654156,0.34735961008016963,0.06930393834694436,0.3424576225447909,0.0641398370448283,0.3531408342585582,0.4955819191905148,0.5098457163738805,-0.001030167226038525,0.366825027819738,-0.0256954754165869,-0.017570764984774428,-0.04359404618208569,0.41978485534579413,0.4972060817977526,0.5191265237112207,0.510397203228636,0.49738474859331194,0.42001740581932084,0.7126760104979138,0.5778866102197967,0.5164292165215044,0.5750935888738861,0.5176285375853058,0.6440806055556547,0.5885974788789222,0.5255255988442075,0.7045733795572033,0.21948631369437857,0.24188418018125749,0.23519026340518265,-0.01638857247343181,0.0012679199020201807,-0.05693174881622885,-0.025166158238118696,-0.015426850585230845,0.002879743243112333,-0.0247010850533917,-0.2423397884205867
da_Mean,0.3982414428606967,0.395266993449044,0.29962805327658804,1.0,0.2892895565628559,0.23728293798862557,0.23636304398099034,0.03638460082682017,0.07953881637215537,-0.023111203873460804,-0.042184985146293166,0.26163050634959123,0.02588213076830215,0.15064199730336403,0.008979416001744362,0.28981305919302797,0.018988689926563055,0.39655772353275515,0.043083810322312746,0.2757580520499929,0.011438708285993573,0.40848839054896047,0.042955581963571424,0.08294765321778572,0.14659358862787505,0.15103345500646284,0.22657462556776609,0.12884476434039382,0.32854081953489206,0.03242829016494164,0.29188495406926224,0.31186745884553135,0.27406058575786146,0.1868453758302622,0.16275361518938417,0.4283393839869209,0.04689431798954638,0.4165670663889964,0.03783085197552821,0.2547727968348959,0.03545919235024471,0.1865393730652879,0.02627104633146767,0.2598046713089008,0.39635619993256554,0.4080120573040122,0.00014969626447221813,0.3708082490858568,0.02816129037321264,0.0031348063831719303,-0.013514648877108324,0.32329465084934866,0.36521525272627975,0.37522814614524275,0.3735213374785175,0.3654835867795841,0.3236191343199094,0.44159362630848226,0.3813684070431222,0.3732669701939867,0.39096708314920453,0.39726342425261124,0.3903926515729944,0.3873151414612184,0.38928322799750603,0.4047081966706179,0.07907038926948758,0.18544266779589816,0.16458188750509728,-0.03082855006535982,0.0024542004702114597,-0.04769554270654322,-0.030524368284291288,0.03546959305509044,-0.0017783465794282392,-0.01818772610082804,-0.11179346000598668
ovrmou_Mean,0.8004727166400778,0.5798788133144128,0.22071787942352028,0.2892895565628559,1.0,0.9634612562498991,0.9621135910813833,0.11899418041679481,0.0731819375017401,-0.032453193891461195,-0.055986098280507345,0.3410149270127886,0.041714612225818945,0.20995107894165554,0.019608210170037055,0.3711946297247893,0.02548175002703146,0.49289501906169186,0.05740215564099293,0.41363699338907217,0.012933305549978794,0.5029965602631622,0.05644191864957337,0.1132760206144516,0.17753439724126868,0.17893641065717772,0.3237068393464925,0.17102759307741933,0.48821901247326077,0.047625011158140725,0.5295403755396069,0.4252242832885108,0.4001650300085879,0.31710519991179337,0.3226381994979069,0.5220118975215536,0.04697506879419866,0.5765220314495723,0.03818939035765367,0.38923780388424317,0.05817102655191795,0.388117099926207,0.04742236159862637,0.34837225594579957,0.492863919550285,0.5026609795612478,-0.002324860934897199,0.43287394668371165,0.02108602652132371,0.0014764589113240808,-0.01688386284775031,0.32450945543560067,0.37551998290112487,0.3812387131594482,0.3812987588082435,0.3759621007791379,0.32493440548880304,0.5524357636887064,0.4505477223568275,0.41635433633781127,0.5735823707852998,0.5215736503411843,0.7767835417121919,0.5114527252627816,0.47231338598967376,0.6645527201693444,0.08892815065771885,0.16551580304644134,0.1605636133128078,-0.021491244491993876,0.007155786280534129,-0.03346208787198316,-0.006690705060070805,-0.02593994532128091,0.0036302491907104347,-0.0266412568177518,-0.1250034698175722
ovrrev_Mean,0.7928978128687504,0.5435978565739119,0.18225227463693341,0.23728293798862557,0.9634612562498991,1.0,0.9974932687181409,0.13874410328000347,0.06457313568713213,-0.019026590716058635,-0.042204782880424584,0.3301531116402428,0.04390983028286698,0.1942801605493781,0.02189285268049029,0.360162930831039,0.025873775682167515,0.4629466445575193,0.059528485688651184,0.38275081476601247,0.017495703620940575,0.46844598422212674,0.05844595899553264,0.12669850120066306,0.19080712474416556,0.19076600214238718,0.3013455934676323,0.16284726805520586,0.46293631646159084,0.049792349776352,0.4969118967706242,0.39958931663239083,0.37642098037705485,0.29933865475860544,0.3040421226479273,0.4635057210769624,0.04865233827734939,0.516162168970726,0.04085255186242135,0.38621404821454147,0.060229040612197755,0.3935206589893253,0.04910960905537438,0.3313644430051176,0.46323718543353065,0.46854941815090817,-0.002541621467937052,0.3716961932175435,-0.004476410367521099,-0.009868890293728415,-0.029889608916781867,0.25348335920469406,0.3020823800375959,0.3233455890468539,0.3234369426983297,0.30229848439004925,0.25365461552148366,0.5251382447226702,0.41286020995447736,0.37326777313035214,0.5354523069609519,0.47536119203437877,0.7652151473783586,0.4700380031785803,0.42445990368099434,0.6436581019665232,0.0906561653260512,0.14079850209510913,0.1393850479774841,-0.028203995846726265,0.0019532927976436795,-0.032750663716379295,-0.004646044235347522,-0.03247538238791024,0.004388210884670626,-0.02781460648228169,-0.13239293210377306
vceovr_Mean,0.790264011246673,0.5416821964564282,0.1810678951650844,0.23636304398099034,0.9621135910813833,0.9974932687181409,1.0,0.0684165960992018,0.06418774192793798,-0.019179129160954964,-0.04290369996888359,0.3288390280414116,0.02283414612287792,0.19342913771640938,0.017393702030169125,0.358868550164826,0.017130783151707785,0.46153647109935936,0.036476727169459794,0.3816438953939322,0.014689091114357525,0.4671138636169729,0.035684251274278364,0.1250359236782454,0.18865368561164159,0.1887484781517495,0.29989183367898103,0.16155796731867028,0.462944233014882,0.02584897237511785,0.4965187136774683,0.39762843137537746,0.3755810275204498,0.2989827306881171,0.30382159988530527,0.46368300479128616,0.02922206394484014,0.517027601363047,0.01892932231519224,0.3837639145694647,0.03715416010051761,0.3924057326205306,0.026654214920934848,0.3292769886678476,0.4605235412985593,0.46561882276983785,-0.0026617218918045344,0.3721588628041175,-0.0033319485583103684,-0.009663360232256182,-0.029962878673828262,0.2522434984030348,0.3008728828163743,0.32226714136341444,0.32238338124172716,0.30110419003887734,0.25243323212218244,0.5226805528225046,0.41081767378720285,0.3707853866170554,0.5336661268776813,0.4730007489347166,0.7631036953647474,0.4681766387803065,0.4221427594960986,0.6411169962044364,0.08586256400890134,0.138317458027874,0.13660722080369145,-0.0275839084572877,0.0018220404662858739,-0.03304223507475875,-0.005205406998187894,-0.031808346329135574,0.004375523571775442,-0.028029925057345334,-0.1283740821381205
datovr_Mean,0.11916715756211078,0.083480073939815,0.03553889294065716,0.03638460082682017,0.11899418041679481,0.13874410328000347,0.0684165960992018,1.0,0.012243404881536503,0.00031464737579944856,0.00567131829167349,0.05297265966570256,0.2996343960698884,0.0322464945521936,0.06533388718694791,0.05570472380284715,0.12510781573312163,0.06804817988326356,0.3284756960463114,0.05546497367509887,0.01718218775427451,0.06751631060036303,0.324268843393024,0.036567966244219985,0.049957993597413,0.04801245044299834,0.05189652757706279,0.03522461110092564,0.04825050433299693,0.3396970707304732,0.05718315805562771,0.06911941045087679,0.050982057129272965,0.036090699380954425,0.03460995451219645,0.04575455165053522,0.27652503985093385,0.041548706917329044,0.30988494290388807,0.07473432638449584,0.32895436197840744,0.05679610052302157,0.3191721807659223,0.06391844614704077,0.08630086523079307,0.08987095241801886,0.001442290250139755,0.03243750899933818,-0.016010865989864807,-0.0037628933525691343,-0.001985194816971484,0.043919437090300065,0.04864473512511696,0.049017915944408394,0.048680034163346285,0.048449331360677195,0.043673075675778335,0.08893863975592738,0.07161339423528443,0.07349882733720557,0.08079456187382841,0.08229535780968163,0.10891080647729313,0.07510484925682065,0.07649172553994045,0.1025347056528767,0.07626783725703835,0.049638877684692516,0.05358098974037084,-0.011474827335298645,0.002295866733935706,0.0009902356009502055,0.00752532081920143,-0.01269387716372557,0.0009102918274701279,0.00040899381917254926,-0.06995499341361953
roam_Mean,0.26075049543380807,0.12433825323914498,0.09446497917260029,0.07953881637215537,0.0731819375017401,0.06457313568713213,0.06418774192793798,0.012243404881536503,1.0,-0.03852021435100774,-0.05139624995079733,0.09086785392282158,0.00912589426738694,0.06373813018377172,0.004874419628119524,0.055911025969148466,0.007709923832561239,0.07549914422805863,0.010174674950360093,0.047627876552594935,0.003728671166711613,0.07263213599212086,0.009644043014915315,0.008458625567201434,0.027302802242207998,0.029931245986566737,0.031051953818021293,0.02427668962508583,0.07950542924868856,0.002391304841444281,0.06816491508032436,0.05901064819276629,0.0529881769621124,0.04148471522633353,0.04007648063984517,0.07875974416135541,0.009755317730037955,0.09394262675448178,0.005149960261122425,0.04256598597954955,0.008572109227615539,0.04999376232669838,0.0007360375806340472,0.09806155555284612,0.07557309840937494,0.07268934165166975,-0.0008561175772701548,0.051721171431647985,0.002284216982790653,0.005792072559898239,0.005370551680270722,0.061592062236904555,0.08034454114084286,0.11364435985538515,0.11349500638405105,0.08062000640093803,0.061829124616126475,0.159031205967251,0.09600330213358504,0.08004730618423991,0.1277150164273055,0.09971631481175512,0.262103280844037,0.1182689569988376,0.09461968184132484,0.21455785105197683,0.032187828175245854,0.043901382289448856,0.05035710935098419,0.018965444564685435,0.0066609307970031525,-0.005900086982842032,0.0012537261266097938,-0.010223570442464533,-0.0080726179294486,-0.010444634117008939,-0.043989515908415364
change_mou,-0.027573055040876423,-0.04540042801749649,-0.0055962098814822895,-0.023111203873460804,-0.032453193891461195,-0.019026590716058635,-0.019179129160954964,0.00031464737579944856,-0.03852021435100774,1.0,0.6075651244307594,-0.0857060611046961,-0.009347736571208434,-0.060782579291288094,-0.024998574614058258,-0.07382590895279464,0.005692321832055648,-0.09181387538503652,-0.011115744228952984,-0.10429022678549796,-0.006864588871422432,-0.08963970636478232,-0.010288392611633343,-0.023324382257647984,-0.027141035869389096,-0.024250586678287965,-0.0910598460605417,-0.06272463710977909,-0.09041983712150713,-0.00034793857530280003,-0.10770729496556719,-0.05747153773296181,-0.051615955513597815,-0.0621893448902248,-0.0486860170403897,-0.09907719154221542,-0.012942359234237064,-0.10688884408676406,-0.002690068701714923,-0.08509974579976064,-0.007140359524368154,-0.07920851248028579,0.0008806672742525341,-0.09367458473266993,-0.09183218424148845,-0.08959615589359268,-0.005506269984608569,-0.12082161173497122,0.0058574693587643365,0.0024567966103262633,0.0038093299537152545,-0.07685639212372426,-0.09045504414056238,-0.06911943693836406,-0.06925857417119494,-0.09060594022028828,-0.07687545266498828,-0.11969228898473867,-0.1349002372232315,-0.12103767691102958,-0.18897756237573515,-0.16235366658631284,-0.17657453800103962,-0.16718062491485083,-0.1438225274878284,-0.1551945211664574,0.020315935818808528,-0.004132789973594479,-0.004597700308566875,0.0015898667121150814,0.012112022097408044,0.004129215925282336,0.011256907233961461,0.007370683049176896,0.0039930035360244325,0.007377215108355719,-0.011015859804483667
