name,satisfaction_v2,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
Gender,-0.2,1.0,0.0,0.0,0.0,0.0,0.1,-0.1,0.1,-0.1,0.0,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
Type of Travel,-0.1,0.0,0.3,-0.1,1.0,-0.5,-0.1,0.0,0.2,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0
Arrival Delay in Minutes,-0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,1.0,1.0
Departure Delay in Minutes,-0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,1.0,1.0
Flight Distance,0.0,0.1,0.0,-0.3,-0.1,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Departure/Arrival time convenient,0.0,0.1,0.2,0.0,0.2,-0.1,0.0,0.4,1.0,0.5,0.5,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0
Gate location,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Age,0.1,0.0,0.3,1.0,-0.1,0.1,-0.3,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Food and drink,0.1,-0.1,0.1,0.0,0.0,0.0,0.0,0.7,0.5,1.0,0.5,0.0,0.4,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Inflight wifi service,0.2,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,1.0,0.3,0.6,0.6,0.1,0.0,0.0,0.1,0.0,0.6,0.0,0.0
Seat comfort,0.2,-0.1,0.1,0.0,0.0,0.0,0.0,1.0,0.4,0.7,0.4,0.1,0.4,0.1,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0
Baggage handling,0.2,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.4,0.5,0.4,1.0,0.2,0.6,0.1,0.0,0.0
Cleanliness,0.3,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.4,0.5,0.4,0.6,0.2,1.0,0.1,-0.1,-0.1
Checkin service,0.3,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.2,0.2,0.1,0.2,0.2,0.2,1.0,0.2,0.2,0.0,0.0
Customer Type,0.3,0.0,1.0,0.3,0.3,0.1,0.0,0.1,0.2,0.1,0.0,0.1,0.2,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0
Leg room service,0.3,-0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.2,0.1,0.4,0.4,1.0,0.4,0.2,0.4,0.1,0.0,0.0
Class,0.3,0.0,0.1,0.1,-0.5,1.0,0.1,0.0,-0.1,0.0,0.0,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.0,0.0
Online boarding,0.3,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.6,0.4,0.7,0.7,0.1,0.1,0.1,0.2,0.1,1.0,0.0,0.0
On-board service,0.3,-0.1,0.1,0.1,0.0,0.2,0.0,0.1,0.1,0.0,0.0,0.1,0.2,0.2,0.4,1.0,0.4,0.5,0.2,0.5,0.1,0.0,0.0
Online support,0.4,-0.1,0.2,0.1,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.6,0.4,1.0,0.6,0.2,0.1,0.1,0.2,0.1,0.7,0.0,0.0
Ease of Online booking,0.4,-0.1,0.1,0.1,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.6,0.3,0.6,1.0,0.4,0.4,0.4,0.1,0.4,0.7,0.0,0.0
Inflight entertainment,0.5,-0.1,0.2,0.1,-0.1,0.2,0.0,0.4,0.1,0.4,0.0,0.3,1.0,0.4,0.3,0.2,0.2,0.1,0.2,0.1,0.4,0.0,0.0
satisfaction_v2,1.0,-0.2,0.3,0.1,-0.1,0.3,0.0,0.2,0.0,0.1,0.0,0.2,0.5,0.4,0.4,0.3,0.3,0.2,0.3,0.3,0.3,-0.1,-0.1
