,index,col,fi,cor
0,0,Gender,0.002386535366058397,0.21223598116866152
1,1,Customer Type,0.014327255631766804,0.2925922490677186
2,2,Age,0.0009830838343672127,0.11797141054379721
3,3,Type of Travel,0.004580417383710297,0.10923873295829216
4,4,Class,0.009818653988746852,0.31191220296393624
5,5,Flight Distance,0.001732019245495556,0.03922433127981781
6,6,Seat comfort,0.10814396931347019,0.24238443197097626
7,7,Departure/Arrival time convenient,0.0036661484197689025,0.015506543796944088
8,8,Food and drink,0.0238884913337814,0.12067666890804082
9,9,Gate location,0.0003822069923822055,0.012070839001856772
10,10,Inflight wifi service,0.006332398106470247,0.22706185454421823
11,11,Inflight entertainment,0.2174436057441123,0.5234960998941073
12,12,Online support,0.05799030380351757,0.3901434030070593
13,13,Ease of Online booking,0.08098722249320393,0.43177238208384666
14,14,On-board service,0.035811634850936545,0.3520468476874389
15,15,Leg room service,0.021965417777913217,0.3049275151239273
16,16,Baggage handling,0.009271721594210223,0.26034668193790345
17,17,Checkin service,0.009666222426585077,0.26617874017111376
18,18,Cleanliness,0.015616199777753583,0.25932955919882816
19,19,Online boarding,0.015369753149365747,0.33814687503211144
20,20,labels,0.13632510973079684,0.5115492506910375
21,21,lda,0.22224219705458664,0.6819180412436145
22,22,A3,0.0010694319810003869,0.19916770817219323
