,satisfaction_v2,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
53304,0,1,0,48,0,1,2211,3,3,3,3,5,3,5,5,3,2,5,4,5,5,2,5.0
84862,1,1,1,41,0,1,879,4,4,4,4,5,5,5,3,3,3,3,4,3,5,0,0.0
14960,0,1,1,52,1,0,1706,2,4,2,4,2,2,2,2,3,3,5,3,5,2,0,0.0
57328,1,1,0,21,0,0,1962,4,0,4,4,3,4,3,3,5,5,4,3,4,3,0,0.0
106957,1,0,1,54,0,1,1560,2,2,2,2,2,4,4,4,4,4,4,3,4,5,59,70.0
49791,0,1,0,37,0,1,1267,2,3,3,4,3,3,1,3,4,2,5,3,5,3,4,1.0
113476,1,0,1,56,0,1,322,1,1,1,1,2,4,4,5,5,5,4,3,5,4,0,0.0
77202,0,1,1,31,0,0,1934,2,5,5,5,2,2,2,1,4,3,4,2,3,2,151,186.0
108873,1,1,1,56,0,1,217,1,1,1,1,5,5,4,3,3,4,5,5,3,5,0,3.0
78650,0,1,1,36,0,1,97,1,5,5,5,4,3,3,3,3,3,1,2,3,3,12,8.0
69471,0,1,1,52,0,1,233,3,1,3,1,4,3,3,1,1,1,3,4,1,4,0,67.0
127958,1,1,1,70,0,0,1576,5,5,5,5,5,5,5,5,3,2,1,3,4,5,0,0.0
11374,1,0,1,19,1,0,1672,4,5,5,5,1,5,3,4,4,4,4,1,4,1,0,0.0
2263,0,1,1,39,1,0,1671,1,2,1,4,2,1,2,2,3,1,4,2,4,2,0,7.0
16985,1,0,1,52,1,0,450,4,4,4,4,2,4,2,4,4,4,4,4,4,5,2,0.0
59659,0,0,0,32,0,1,1235,4,4,4,3,4,4,5,4,4,1,4,4,4,4,0,5.0
40725,1,0,0,23,0,0,2107,0,4,0,4,5,0,5,5,4,2,5,4,5,5,27,36.0
111663,1,0,1,39,0,1,2064,2,2,2,2,3,5,5,4,4,5,4,5,4,3,104,122.0
95181,1,1,1,32,0,1,2489,5,5,5,5,4,4,4,4,4,2,2,4,3,4,183,192.0
6537,1,0,1,7,1,0,1555,1,1,1,1,3,3,3,2,4,4,3,3,3,3,0,2.0
8904,1,0,1,68,1,0,578,1,4,1,1,5,5,5,4,4,4,4,4,4,3,42,37.0
52246,0,1,0,56,0,1,1475,3,3,3,1,2,3,3,2,4,3,4,5,5,2,0,0.0
106748,1,1,1,58,0,1,240,2,2,4,2,3,5,5,4,4,4,4,4,4,4,0,0.0
46881,0,0,0,49,0,1,1754,2,2,2,3,3,2,5,3,1,5,4,2,3,3,4,9.0
120042,1,0,1,46,0,1,251,4,4,4,4,5,3,5,5,5,5,5,4,5,1,0,0.0
4058,1,0,1,10,1,0,1227,0,3,0,5,2,3,2,2,2,2,2,5,2,1,39,56.0
109592,1,1,1,44,0,1,2612,4,4,4,4,2,4,4,4,4,4,5,3,4,3,0,0.0
127760,1,1,1,56,0,1,2169,4,2,4,4,5,4,5,5,5,5,5,5,5,3,0,0.0
55198,0,0,0,27,0,1,2148,3,3,3,4,5,3,5,5,4,5,3,4,4,5,0,0.0
57706,0,0,0,27,0,0,1603,4,2,4,1,2,4,2,2,2,1,1,4,1,2,6,4.0
26667,0,1,1,31,1,0,1618,3,4,3,3,3,3,3,3,1,4,4,5,4,3,25,42.0
6267,0,0,1,16,1,0,1774,1,5,1,1,1,5,5,4,5,4,4,5,3,5,192,293.0
60723,0,1,0,38,0,1,1985,4,4,4,5,1,4,1,1,5,5,4,4,4,1,0,0.0
47540,0,1,0,30,0,1,1923,2,2,2,3,3,2,3,3,2,2,2,1,2,3,45,41.0
99572,0,1,1,11,0,1,2140,4,1,1,1,4,4,4,4,4,3,4,4,3,4,38,
100013,1,1,1,48,0,1,1740,4,4,4,4,4,4,5,4,4,4,4,3,4,5,4,0.0
104192,1,0,1,59,0,1,813,2,2,2,2,2,5,5,4,4,4,4,5,4,4,0,14.0
76074,0,1,1,53,0,1,3403,2,2,2,2,5,3,3,2,2,2,2,3,2,1,0,0.0
58097,0,0,0,27,0,1,1722,4,3,3,4,1,3,1,1,3,3,3,3,3,1,0,0.0
60799,1,0,0,17,0,0,2320,4,4,4,5,4,4,4,4,4,5,5,4,5,4,0,0.0
41747,0,1,0,39,0,1,2302,1,1,1,2,1,1,1,1,4,5,4,4,4,1,0,0.0
58009,1,0,0,21,0,0,2388,4,3,3,3,1,3,1,1,5,2,4,3,5,1,14,0.0
21683,0,1,1,17,1,0,2398,3,2,3,3,1,3,1,1,2,3,3,3,4,1,11,12.0
118266,1,0,1,44,0,1,836,1,1,1,1,2,4,4,5,5,5,5,3,5,3,0,0.0
45805,0,0,0,21,0,1,2110,2,1,3,3,3,3,3,3,2,4,3,1,3,3,0,0.0
67013,0,1,1,47,0,1,3958,1,3,3,3,1,3,3,1,1,1,1,2,1,3,9,0.0
65900,0,0,1,56,0,1,467,1,0,0,3,5,3,3,1,1,0,1,4,1,1,10,0.0
10434,1,0,1,22,1,0,1806,3,3,3,3,3,5,5,4,4,4,4,4,4,3,0,0.0
2118,0,1,1,68,1,0,2044,1,2,1,4,4,1,4,4,1,2,3,3,4,4,27,36.0
24612,0,1,1,56,1,0,2083,3,4,3,1,1,3,1,1,3,4,5,3,4,1,0,0.0
11120,0,1,1,16,1,0,1980,2,3,2,3,5,2,5,5,4,1,2,3,2,5,0,0.0
117004,1,0,1,43,0,1,72,2,2,2,2,4,4,5,5,5,5,5,4,5,4,0,0.0
60826,0,1,0,27,0,1,1052,4,4,4,5,5,4,2,5,3,2,5,4,4,5,0,0.0
110147,1,1,1,43,0,1,2169,3,3,3,3,5,5,4,5,5,4,5,4,5,3,0,0.0
47746,0,0,0,27,0,1,1697,2,2,2,3,1,2,1,1,5,4,5,3,5,1,0,0.0
92794,1,1,1,52,0,1,1957,5,5,5,5,3,5,5,4,4,4,4,4,4,3,0,31.0
116995,1,0,1,54,0,1,3357,5,5,5,5,4,5,5,5,5,5,5,4,5,5,0,0.0
49503,0,0,0,26,0,1,1265,2,3,2,4,3,2,3,3,3,3,4,1,4,3,0,1.0
40531,1,1,0,23,0,0,1840,0,0,1,1,5,1,4,5,3,4,5,3,5,5,0,0.0
69022,0,1,1,48,0,1,235,1,5,5,5,4,3,4,1,1,1,1,2,1,2,39,45.0
106385,1,1,1,58,0,1,326,5,5,3,5,4,4,4,4,4,4,4,3,4,4,0,1.0
43689,0,0,0,30,0,1,1048,1,2,2,1,2,2,2,2,5,3,5,5,5,2,0,0.0
78423,0,0,1,40,0,1,1697,4,3,3,3,3,4,4,1,1,2,4,3,1,4,0,0.0
19568,1,0,1,52,1,1,350,2,2,3,2,3,4,4,5,5,4,5,4,5,4,6,16.0
39918,1,1,1,31,1,1,1174,5,5,5,4,5,5,5,5,3,2,4,4,5,5,0,0.0
27578,1,0,1,14,1,1,1192,3,3,4,3,4,5,3,5,5,5,5,2,5,5,0,0.0
39595,1,1,1,48,1,1,286,5,5,5,1,3,5,4,3,3,5,3,4,3,4,27,32.0
63151,1,0,0,27,0,1,1865,5,5,5,3,4,5,4,4,5,3,5,3,5,4,0,0.0
106927,1,1,1,55,0,1,71,4,4,4,4,2,4,4,4,4,4,4,3,4,4,0,0.0
127424,1,1,1,59,0,1,357,1,1,1,1,2,4,4,5,5,5,5,3,5,5,26,18.0
123939,1,0,1,48,0,1,3969,5,5,5,5,3,4,4,5,5,5,5,5,5,5,0,18.0
109309,1,1,1,59,0,1,109,1,1,1,1,2,4,4,4,4,4,5,3,4,5,0,10.0
106963,1,0,1,53,0,1,129,1,1,1,1,2,5,5,4,4,4,4,4,4,3,0,1.0
92631,1,0,1,26,0,1,1280,5,5,5,5,4,4,4,4,4,4,5,4,4,4,0,0.0
110148,1,0,1,30,0,1,1530,1,1,1,1,5,4,5,5,4,3,4,4,5,5,0,0.0
113640,1,1,1,43,0,1,1666,3,2,3,3,5,5,4,5,5,5,4,4,5,4,0,0.0
109209,1,0,1,43,0,1,102,4,4,1,4,3,5,4,4,4,4,5,4,4,5,0,0.0
106386,1,1,1,57,0,1,2887,1,1,1,1,3,5,4,4,4,4,4,3,4,4,3,21.0
65226,1,1,1,59,0,1,80,0,4,0,3,2,4,5,3,3,3,3,4,3,4,0,0.0
109044,1,0,1,49,0,1,3603,5,5,5,5,3,5,5,4,4,4,5,3,4,3,0,0.0
113685,1,1,1,38,0,1,3646,4,5,4,4,5,4,4,5,5,5,4,4,5,3,0,4.0
65306,1,1,1,52,0,1,83,0,4,0,4,2,5,5,2,2,2,2,4,2,5,20,9.0
127122,1,0,1,34,0,1,402,2,2,2,2,5,5,4,5,5,5,5,3,5,4,0,0.0
92563,1,0,1,55,0,1,1845,5,5,5,5,5,4,5,4,4,4,4,3,4,5,0,0.0
