,totmrc_Mean,da_Mean,ovrmou_Mean,ovrrev_Mean
0,22.5,0.2475,0.0,0.0
1,37.425,0.2475,22.75,9.1
2,16.99,0.0,0.0,0.0
3,38.0,0.0,0.0,0.0
4,71.98,0.0,0.0,0.0
5,75.0,1.2375,0.0,0.0
6,16.99,0.0,0.0,0.0
7,52.49,0.2475,0.0,0.0
8,50.0,4.95,419.5,41.95
9,29.99,0.2475,0.0,0.0
10,65.985,2.475,0.0,0.0
11,34.98,0.0,0.0,0.0
12,75.0,0.0,0.0,0.0
13,25.0,0.0,0.0,0.0
14,84.99,2.2275,249.5,99.8
15,37.48,0.2475,6.0,1.5
16,59.98,0.0,5.75,1.725
17,29.99,0.0,16.0,5.6
18,49.99,0.7425,0.0,0.0
19,69.99,0.0,2.5,0.975
20,99.99,0.0,362.25,72.45
21,56.25,0.2475,0.0,0.0
22,99.99,6.1875,546.25,136.5625
23,29.99,0.0,0.25,0.065
24,24.99,0.0,0.75,0.2775
25,29.99,0.0,0.0,0.0
26,48.79,1.485,0.75,0.075
27,35.99,0.2475,4.75,1.425
28,94.99,1.2375,41.5,12.195
29,29.99,0.0,0.0,0.0
30,16.99,0.0,9.5,9.0425
31,30.0,0.0,0.0,0.0
32,34.99,0.2475,0.0,0.0
33,16.99,0.0,14.0,4.16
34,30.0,0.0,0.0,0.0
35,75.0,0.495,97.25,24.3125
36,30.0,0.0,0.0,0.0
37,16.99,0.0,0.75,0.3375
38,30.0,0.2475,8.5,3.315
39,29.99,0.0,0.25,0.0975
40,50.0,0.0,100.75,30.225
41,30.0,0.0,0.0,0.0
42,54.98,0.0,0.0,0.0
43,16.99,0.0,0.0,0.0
44,69.99,0.0,0.0,0.0
45,54.98,0.0,3.0,0.75
46,30.0,0.0,0.0,0.0
47,85.0,0.0,0.0,0.0
48,24.99,0.0,232.75,86.1175
49,52.99,1.2375,0.0,0.0
50,29.99,0.0,0.0,0.0
51,34.98,0.99,31.75,7.62
52,29.99,0.99,9.5,3.325
53,67.745,0.0,264.75,80.55
54,30.0,0.0,8.75,1.4475
55,50.0,0.0,0.0,0.0
56,49.99,0.0,0.0,0.0
57,20.0,0.0,0.0,0.0
58,44.99,0.0,0.0,0.0
59,37.99,0.0,0.0,0.0
60,30.0,0.0,0.0,0.0
61,40.0,0.0,53.75,13.4375
62,75.0,0.0,0.0,0.0
63,139.96,11.1375,1444.75,149.975
64,51.99,2.97,0.0,0.0
65,29.99,0.99,1.75,0.525
66,75.0,2.475,0.0,0.0
67,149.99,0.0,0.0,0.0
68,59.99,0.495,0.0,0.0
69,50.0,0.2475,0.0,0.0
70,84.99,0.495,0.0,0.0
71,74.99,0.0,0.0,0.0
72,16.99,0.0,1.25,0.4375
73,75.0,0.0,126.0,31.5
74,82.95,2.475,0.0,0.0
75,59.99,2.97,52.75,15.825
76,10.0,5.445,74.0,11.1
