,a,b,sim,len-a,len-b
0,12230.0,12080.0,0.5086206896551724,82.0,93.0
1,12231.0,12230.0,0.5053763440860215,58.0,82.0
2,12253.0,12251.0,0.8695652173913043,23.0,20.0
3,12278.0,12080.0,0.5272727272727272,75.0,93.0
4,12396.0,12100.0,0.5046728971962616,77.0,84.0
5,12414.0,12230.0,0.5526315789473685,95.0,82.0
6,12557.0,12256.0,0.55,68.0,56.0
7,12796.0,12230.0,0.5319148936170213,62.0,82.0
8,12796.0,12231.0,0.5584415584415584,62.0,58.0
9,12803.0,12080.0,0.6565656565656566,71.0,93.0
10,12803.0,12230.0,0.53,71.0,82.0
11,12803.0,12231.0,0.5542168674698795,71.0,58.0
12,12803.0,12796.0,0.5287356321839081,71.0,62.0
13,13070.0,12990.0,0.7,9.0,8.0
14,13204.0,13147.0,1.0,1.0,1.0
15,13371.0,12080.0,0.5754716981132075,74.0,93.0
16,13371.0,12231.0,0.6097560975609756,74.0,58.0
17,13371.0,12796.0,0.6385542168674698,74.0,62.0
18,13371.0,12803.0,0.5934065934065934,74.0,71.0
19,13378.0,12230.0,0.625,74.0,82.0
20,13378.0,12414.0,0.5794392523364486,74.0,95.0
21,13433.0,12080.0,0.5208333333333334,53.0,93.0
22,13433.0,12231.0,0.6323529411764706,53.0,58.0
23,13433.0,12803.0,0.55,53.0,71.0
24,13433.0,13371.0,0.6282051282051282,53.0,74.0
25,13490.0,12917.0,1.0,1.0,1.0
26,13519.0,12256.0,0.5432098765432098,69.0,56.0
27,13519.0,12557.0,0.5222222222222223,69.0,68.0
28,13567.0,12080.0,0.5765765765765766,82.0,93.0
29,13567.0,12230.0,0.5619047619047619,82.0,82.0
30,13567.0,12231.0,0.5053763440860215,82.0,58.0
31,13567.0,12796.0,0.6,82.0,62.0
32,13567.0,12803.0,0.53,82.0,71.0
33,13567.0,13371.0,0.5918367346938775,82.0,74.0
34,13586.0,12100.0,0.5625,66.0,84.0
35,13586.0,12278.0,0.532608695652174,66.0,75.0
36,13592.0,12185.0,0.5555555555555556,83.0,57.0
37,13592.0,12230.0,0.5277777777777778,83.0,82.0
38,13592.0,12414.0,0.5892857142857143,83.0,95.0
39,13592.0,13378.0,0.5858585858585859,83.0,74.0
40,13648.0,12100.0,0.5728155339805825,78.0,84.0
41,13648.0,12396.0,0.6666666666666666,78.0,77.0
42,13750.0,12640.0,0.521551724137931,169.0,185.0
43,13754.0,12256.0,0.5647058823529412,77.0,56.0
44,13754.0,12557.0,0.5425531914893617,77.0,68.0
45,13754.0,13519.0,0.5531914893617021,77.0,69.0
46,13832.0,13750.0,0.625,130.0,169.0
