,,,,,,,,,,,,,,,,Threshold,0.5,Coefficient,10,1,5,20,,WEIGHTED ACCURACY,,,,,,,
,,,,,,,,,,,,,,,,,,,0.74,0.785666666666667,0.066666666666667,2.54,,0.369202226345083,,,,,,,
,,,,,,,,,,,,,,,,,,,0.074,0.785666666666667,0.013333333333333,0.127,,,,,,,,,
,CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography_France,Geography_Germany,Geography_Spain,PRED,PROB,REAL,certainity,YENI-PRED,Correct,tp,tn,fp,fn,,,,,,,,,
,625,1,55,8,118772.71,4,0,0,135853.62,0,1,0,1,0.902856886302467,1,0.402856886302467,1,TRUE,1,0,0,0,,,,,,,,,
,546,1,58,3,106458.31,4,1,0,128881.87,0,1,0,1,0.901753441301935,1,0.401753441301935,1,TRUE,1,0,0,0,,,,,,,,0.55,854
,358,1,52,8,143542.36,3,1,0,141959.11,0,0,1,1,0.900993104865628,1,0.400993104865629,1,TRUE,1,0,0,0,,,,,,,,0.5,859
,547,0,55,4,111362.76,3,1,0,16922.28,0,1,0,1,0.897365227865832,1,0.397365227865832,1,TRUE,1,0,0,0,,,,,,,,0.45,863
,580,1,65,9,106804.26,3,1,0,107890.69,1,0,0,1,0.896053820960004,1,0.396053820960004,1,TRUE,1,0,0,0,,,,,,,,0.4,859
,834,1,57,8,112281.6,3,1,0,140225.14,0,1,0,1,0.887736185691753,1,0.387736185691753,1,TRUE,1,0,0,0,,,,,,,,0.44,864
,794,1,62,9,123681.32,3,1,0,173586.63,1,0,0,1,0.884128777212894,1,0.384128777212894,1,TRUE,1,0,0,0,,,,,,,,0.43,865
,705,1,54,3,125889.3,3,1,0,96013.5,0,1,0,1,0.880379425548597,1,0.380379425548597,1,TRUE,1,0,0,0,,,,,,,,0.42,865
,469,1,52,8,139493.25,3,0,0,150093.32,0,1,0,1,0.876168574692443,1,0.376168574692443,1,TRUE,1,0,0,0,,,,,,,,0.41,
,738,0,58,2,133745.44,4,1,0,28373.86,0,1,0,1,0.875106466362729,1,0.375106466362729,1,TRUE,1,0,0,0,,,,,,,,,
,535,1,50,1,140292.58,3,0,0,69531.22,0,0,1,1,0.867459434262046,1,0.367459434262047,1,TRUE,1,0,0,0,,,,,,,,,
,850,1,45,5,174088.3,4,1,0,5669.31,0,0,1,1,0.851923658174082,1,0.351923658174082,1,TRUE,1,0,0,0,,,,,,,,,
,753,1,46,3,111512.75,3,1,0,159576.75,0,1,0,1,0.850863298863837,1,0.350863298863837,1,TRUE,1,0,0,0,,,,,,,,0.3,
,753,1,46,9,113909.69,3,1,0,92320.37,0,1,0,1,0.844637539056532,1,0.344637539056531,1,TRUE,1,0,0,0,,,,,,,,0.7,
,539,1,43,3,116220.5,3,1,0,55803.96,0,1,0,1,0.842492815768064,1,0.342492815768064,1,TRUE,1,0,0,0,,,,,,,,,
,650,1,45,9,152367.21,3,1,0,150835.21,0,1,0,1,0.825135991409198,1,0.325135991409198,1,TRUE,1,0,0,0,,,,,,,,,
,652,0,46,10,121063.8,3,1,0,151481.86,0,1,0,1,0.824852641610694,1,0.324852641610694,1,TRUE,1,0,0,0,,,,,,,,,
,363,1,28,6,146098.43,3,1,0,100615.14,0,0,1,1,0.823505833358275,1,0.323505833358275,1,TRUE,1,0,0,0,,,,,,,,,
,404,1,54,4,125456.07,1,1,0,83715.66,0,1,0,1,0.808807599825986,1,0.308807599825986,1,TRUE,1,0,0,0,,,,,,,,,
,515,0,45,7,120961.5,3,1,1,39288.11,0,1,0,1,0.806339347406856,1,0.306339347406856,1,TRUE,1,0,0,0,,,,,,,,,
,569,1,51,3,0,3,1,0,75084.96,0,0,1,1,0.796389653173687,1,0.296389653173687,1,TRUE,1,0,0,0,,,,,,,,,
,847,1,41,3,101543.51,4,1,0,16025.17,0,1,0,1,0.794706410710678,1,0.294706410710678,1,TRUE,1,0,0,0,,,,,,,,,
,630,0,50,3,129370.91,4,1,1,47775.34,0,1,0,1,0.792365492139439,1,0.292365492139439,1,TRUE,1,0,0,0,,,,,,,,,
