,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.855333333333333,0.771333333333333,0.798333333333333,0.854666666666667
,CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography_France,Geography_Germany,Geography_Spain,PRED1,PRED2,PRED4,REAL,sum,sump,R1,R2,R4,Rsum
225,670,0,37,4,170557.91,2,1,0,198252.88,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
3737,663,0,27,8,0,1,1,1,188007.99,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
5308,449,1,31,1,113693,1,0,0,82796.29,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
7631,677,0,40,7,95312.8,1,1,1,62944.75,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
9875,521,0,39,7,0,2,0,1,653.58,1,0,0,0,1,0,0,0.31807560137457,FALSE,TRUE,FALSE,TRUE,TRUE
1933,666,0,74,7,105102.5,1,1,1,46172.47,0,1,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
9933,797,1,46,8,0,1,0,0,162668.33,1,0,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
948,659,0,67,4,145981.87,1,1,1,131043.2,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
640,752,0,48,5,116060.08,1,1,0,156618.38,0,0,1,0,0,1,1,0.329209621993127,FALSE,FALSE,FALSE,TRUE,FALSE
3768,599,0,34,2,101506.66,1,0,0,198030.24,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
2005,785,1,32,3,124493.03,2,0,1,52583.79,0,1,0,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
8137,410,0,33,6,125789.69,1,0,0,66333.56,1,0,0,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
860,667,0,43,8,190227.46,1,1,0,97508.04,1,0,0,0,0,1,1,0.329209621993127,FALSE,FALSE,FALSE,TRUE,FALSE
1403,739,1,27,6,0,1,1,1,57572.38,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
3696,595,1,39,7,120962.13,1,0,0,23305.01,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
3176,722,0,29,1,107233.85,2,1,0,24924.92,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
431,724,0,41,2,127892.57,2,0,1,199645.45,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
3747,605,0,32,9,0,2,1,1,55724.24,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
2176,699,0,35,2,167455.66,2,1,1,55324.49,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
944,745,0,36,8,67226.37,1,1,0,130789.6,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
690,716,0,27,1,122552.34,2,1,0,67611.36,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
9852,501,0,43,6,104533.24,1,0,0,81123.59,0,0,1,0,0,1,1,0.329209621993127,FALSE,FALSE,FALSE,TRUE,FALSE
5627,654,0,29,4,132954.64,1,1,1,146715.07,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
4378,757,1,71,0,88084.13,2,1,1,154337.47,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
6626,847,0,66,7,123760.68,1,0,1,53157.16,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
2235,648,1,56,6,157559.59,2,1,0,140991.23,0,0,1,1,0,1,1,0.68192439862543,TRUE,TRUE,FALSE,TRUE,TRUE
4571,598,0,20,8,180293.84,2,1,1,29552.7,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
3262,511,0,48,6,149726.08,1,0,0,88307.87,0,1,0,1,0,1,1,0.68192439862543,TRUE,TRUE,FALSE,TRUE,TRUE
7964,564,1,30,0,100954.88,2,0,0,134175.15,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
2519,612,1,62,0,167026.61,2,1,1,192892.05,0,0,1,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
5262,628,0,30,8,89182.09,1,1,1,13126.9,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
5329,620,0,41,3,0,2,1,1,137309.06,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
2080,721,1,55,3,44020.89,1,1,0,65864.4,1,0,0,1,0,1,1,0.68192439862543,TRUE,TRUE,FALSE,TRUE,TRUE
2229,757,0,44,5,140856.16,2,1,0,158735.1,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
304,553,0,33,4,118082.89,1,0,0,94440.45,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
7040,678,1,48,2,0,2,1,1,32301.88,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
6382,797,0,24,5,0,2,1,0,182257.61,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
4028,463,1,41,8,123151.51,2,1,0,70127.93,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
5861,562,0,48,3,92347.96,1,1,1,163116.75,1,0,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
5913,679,0,42,2,0,1,1,1,168294.27,0,0,1,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
5490,655,1,78,2,0,2,0,1,188435.38,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
7656,492,0,51,8,117808.74,2,1,1,67311.12,0,1,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
8117,624,1,34,6,0,1,1,0,582.59,0,0,1,0,0,1,1,0.329209621993127,FALSE,FALSE,FALSE,TRUE,FALSE
7251,724,0,31,9,138166.3,1,1,0,12920.43,0,1,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
6256,609,0,37,1,39344.83,1,1,1,178291.89,1,0,0,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
224,671,0,45,6,99564.22,1,1,1,108872.45,0,1,0,0,0,1,1,0.329209621993127,FALSE,FALSE,FALSE,TRUE,FALSE
7879,657,0,44,6,76495.04,1,1,0,79071.89,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
4142,637,1,63,5,0,1,1,0,28092.77,1,0,0,1,0,1,1,0.68192439862543,TRUE,TRUE,FALSE,TRUE,TRUE
3021,680,0,36,3,116275.12,1,1,1,63795.8,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
7860,659,0,32,9,95377.13,1,0,1,187551.24,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
4054,602,1,56,3,115895.22,3,1,0,4176.17,1,0,0,1,0,1,1,0.68192439862543,TRUE,TRUE,FALSE,TRUE,TRUE
6074,811,1,45,5,0,2,1,1,146123.19,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
9602,634,1,59,3,95727.05,1,0,0,97939.4,0,1,0,1,0,1,1,0.68192439862543,TRUE,TRUE,FALSE,TRUE,TRUE
832,732,1,29,1,154333.82,1,1,1,138527.56,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
2270,538,1,38,8,88758.95,2,0,0,28226.15,1,0,0,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
9667,596,0,37,2,0,1,0,1,121175.86,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
