,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_0,InternetService_DSL,InternetService_Fiber optic,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TEMP58,TEMP75,TEMP113,TEMP118,TEMP150,TEMP159,TEMP238,TEMP247,TEMP261,TEMP269,TEMP274,TEMP303,TEMP314,TEMP320,TEMP323,TEMP334,TEMP335
gender,1.00,0.00,0.00,-0.01,-0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.00,0.01,0.01,0.01,-0.01,0.01,0.00,-0.01,0.00,0.01,-0.01,0.00,0.01,-0.01,0.00,-0.01,-0.01,-0.01,0.00,0.01,0.01,0.00,0.00,-0.01,0.00,0.01,-0.01,0.01,0.00,-0.01,0.00,0.01,-0.01
SeniorCitizen,0.00,1.00,0.01,-0.22,0.01,0.01,0.14,-0.04,0.07,0.06,-0.07,0.11,0.13,0.15,0.22,0.11,0.16,-0.18,-0.11,0.26,0.15,-0.05,-0.13,-0.02,-0.03,0.17,-0.15,-0.19,-0.13,-0.18,-0.19,-0.21,-0.15,-0.12,-0.08,-0.26,0.26,-0.15,-0.04,0.26,-0.09,-0.13,-0.13,-0.14
Partner,0.00,0.01,1.00,0.45,0.35,0.02,0.12,0.12,0.12,0.13,0.10,0.10,0.09,-0.02,0.07,0.28,-0.12,0.01,0.00,-0.01,-0.24,0.05,0.23,0.09,0.06,-0.08,-0.07,0.36,0.23,0.39,0.12,0.10,0.03,0.20,0.11,0.01,-0.16,0.24,0.13,-0.05,0.76,0.04,0.02,-0.01
Dependents,-0.01,-0.22,0.45,1.00,0.15,0.00,-0.04,0.07,0.01,0.00,0.05,-0.03,-0.06,-0.12,-0.13,0.04,-0.16,0.15,0.06,-0.18,-0.22,0.06,0.20,0.04,0.05,-0.15,0.07,0.76,0.21,0.73,0.18,0.17,0.09,0.18,0.10,0.18,-0.25,0.22,0.08,-0.20,0.41,0.10,0.10,0.11
tenure,-0.01,0.01,0.35,0.15,1.00,0.01,0.29,0.30,0.33,0.33,0.29,0.24,0.25,0.00,0.21,0.81,-0.31,-0.02,0.02,0.00,-0.62,0.16,0.55,0.22,0.20,-0.20,-0.21,0.21,0.62,0.30,0.26,0.25,0.09,0.52,0.30,0.00,-0.38,0.62,0.36,-0.12,0.14,0.09,0.02,0.00
PhoneService,0.01,0.01,0.02,0.00,0.01,1.00,0.30,-0.10,-0.05,-0.07,-0.10,-0.02,-0.03,0.01,0.25,0.12,0.02,0.17,-0.45,0.29,0.00,0.00,0.00,0.01,-0.01,0.00,-0.01,0.00,0.14,-0.07,0.05,0.05,-0.08,0.26,0.07,-0.29,0.18,0.00,0.00,0.19,0.01,-0.08,0.00,-0.01
MultipleLines,0.01,0.14,0.12,-0.04,0.29,0.30,1.00,0.08,0.18,0.18,0.08,0.24,0.24,0.16,0.48,0.45,0.09,-0.21,-0.21,0.37,-0.04,-0.03,0.08,0.06,0.04,0.10,-0.22,-0.05,0.02,0.02,-0.10,-0.10,-0.09,0.08,0.07,-0.37,0.21,0.04,0.08,0.29,-0.05,-0.09,-0.13,-0.14
OnlineSecurity,0.01,-0.04,0.12,0.07,0.30,-0.10,0.08,1.00,0.27,0.26,0.34,0.16,0.17,-0.01,0.29,0.39,-0.15,-0.35,0.33,-0.04,-0.22,0.08,0.17,0.08,0.10,-0.10,-0.06,0.10,-0.08,0.73,0.64,0.04,0.22,-0.10,0.18,0.04,-0.16,0.22,0.15,-0.08,0.05,0.73,0.01,0.03
OnlineBackup,0.01,0.07,0.12,0.01,0.33,-0.05,0.18,0.27,1.00,0.29,0.28,0.27,0.26,0.13,0.44,0.49,-0.05,-0.40,0.16,0.17,-0.13,0.06,0.09,0.07,0.07,0.01,-0.16,0.05,-0.10,0.19,-0.08,-0.07,0.11,-0.09,0.15,-0.17,0.03,0.13,0.12,0.11,-0.01,0.10,-0.07,-0.07
DeviceProtection,0.00,0.06,0.13,0.00,0.33,-0.07,0.18,0.26,0.29,1.00,0.32,0.38,0.39,0.11,0.48,0.51,-0.03,-0.40,0.15,0.18,-0.19,0.08,0.14,0.06,0.09,0.01,-0.17,0.05,-0.10,0.18,-0.08,-0.03,0.13,-0.08,0.15,-0.18,-0.01,0.19,0.13,0.12,-0.01,0.08,-0.09,-0.06
