,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,PRED,REAL,CORRECT,TP,TN,FP,FN
334,0,0,0,2,1,0,80.6,1,1,1,1,0,0,0
1,0,0,0,34,1,0,56.95,0,0,1,0,1,0,0
2422,1,0,0,1,1,1,70.05,1,0,0,0,0,1,0
455,0,0,0,24,1,1,104.15,0,0,1,0,1,0,0
2742,0,0,0,66,1,0,68.75,0,0,1,0,1,0,0
2435,0,0,1,14,1,1,59.8,0,0,1,0,1,0,0
5940,0,1,1,56,1,1,85.85,0,0,1,0,1,0,0
810,0,0,0,58,1,1,103.25,0,1,0,0,0,0,1
5029,0,1,0,7,1,1,50.3,1,0,0,0,0,1,0
1991,0,1,1,45,1,0,78.75,0,0,1,0,1,0,0
6287,0,0,0,26,1,1,83.95,0,1,0,0,0,0,1
1439,1,0,0,5,1,1,75.55,1,1,1,1,0,0,0
6364,0,0,1,27,1,1,25.85,0,0,1,0,1,0,0
4879,1,0,0,46,1,1,69.1,0,0,1,0,1,0,0
170,0,1,0,43,1,1,84.25,1,0,0,0,0,1,0
3187,0,1,1,34,1,1,89.85,0,0,1,0,1,0,0
7042,0,0,0,66,1,1,105.65,0,0,1,0,1,0,0
6863,0,1,0,48,1,1,60.6,0,0,1,0,1,0,0
6093,0,1,0,71,0,1,47.05,0,0,1,0,1,0,0
3939,0,0,1,1,1,0,78.65,1,1,1,1,0,0,0
2034,0,1,1,41,1,1,60.3,0,0,1,0,1,0,0
1987,0,1,1,25,1,1,89.15,0,1,0,0,0,0,1
2984,0,1,0,26,1,0,26.0,1,0,0,0,0,1,0
176,1,0,0,15,1,1,74.45,1,1,1,1,0,0,0
6157,0,0,0,3,1,0,19.85,0,1,0,0,0,0,1
6504,0,0,0,3,1,0,79.25,1,1,1,1,0,0,0
5543,1,0,0,14,1,0,78.85,1,0,0,0,0,1,0
1206,0,0,0,3,1,1,70.15,1,0,0,0,0,1,0
4217,1,1,0,14,1,1,75.1,1,0,0,0,0,1,0
2922,0,1,0,28,1,1,92.35,1,1,1,1,0,0,0
6161,0,0,0,7,1,0,74.35,1,0,0,0,0,1,0
4364,0,0,0,63,1,1,80.3,0,0,1,0,1,0,0
3536,0,0,0,1,1,1,79.15,1,0,0,0,0,1,0
892,1,0,0,32,1,1,81.1,0,0,1,0,1,0,0
1457,0,1,0,42,1,1,108.3,0,0,1,0,1,0,0
6689,0,1,1,67,1,1,112.35,1,0,0,0,0,1,0
4790,1,1,0,31,1,1,84.85,1,0,0,0,0,1,0
6335,0,0,0,14,1,1,69.65,0,0,1,0,1,0,0
4806,0,0,0,67,1,1,19.45,0,0,1,0,1,0,0
1557,0,0,0,12,1,1,67.25,0,0,1,0,1,0,0
2021,0,1,1,62,1,0,108.15,0,0,1,0,1,0,0
3212,0,1,0,40,1,1,80.0,1,0,0,0,0,1,0
2392,0,0,0,20,1,1,90.7,1,0,0,0,0,1,0
4507,0,0,0,8,1,0,66.05,1,0,0,0,0,1,0
1664,0,0,0,46,1,0,96.05,0,1,0,0,0,0,1
13,0,0,0,49,1,1,103.7,0,1,0,0,0,0,1
5127,0,0,0,67,1,1,118.35,0,1,0,0,0,0,1
1370,0,0,0,27,1,1,20.25,0,0,1,0,1,0,0
2880,0,0,0,12,1,1,79.95,0,0,1,0,1,0,0
2989,0,0,1,1,1,1,19.2,0,0,1,0,1,0,0
6885,0,0,1,12,1,1,73.75,0,1,0,0,0,0,1
6261,0,1,1,62,1,0,20.45,0,0,1,0,1,0,0
