,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
0,60.0,0.854,0.564,1.0,-4.964,1,0.0485,0.0171,,0.0849,0.899,134.071,234596.0,4,0
1,54.0,0.382,0.814,3.0,-7.23,1,0.0406,0.0011,0.00401,0.101,0.569,116.454,251733.0,4,0
2,35.0,0.434,0.614,6.0,-8.334,1,0.0525,0.486,0.000196,0.394,0.787,147.681,109667.0,4,0
3,66.0,0.853,0.597,10.0,-6.528,0,0.0555,0.0212,,0.122,0.569,107.033,173968.0,4,0
4,53.0,0.167,0.975,2.0,-4.279,1,0.216,0.000169,0.0161,0.172,0.0918,199.06,229960.0,4,0
5,53.0,0.235,0.977,6.0,0.878,1,0.107,0.00353,0.00604,0.172,0.241,152.952,208133.0,4,0
6,48.0,0.674,0.658,5.0,-9.647,0,0.104,0.404,1.34e-06,0.0981,0.677,143.292,329387.0,4,0
7,55.0,0.657,0.415,5.0,-9.915,1,0.025,0.175,5.65e-06,0.132,0.347,96.03,3.105783333,4,0
8,29.0,0.431,0.776,10.0,-5.403,1,0.0527,2.21e-05,0.0013,0.179,0.318,120.857,237867.0,4,0
9,14.0,0.716,0.885,1.0,-4.348,0,0.0333,0.0614,,0.253,0.833,128.043,164093.0,4,0
10,11.0,0.491,0.563,7.0,-8.588,0,0.0331,0.957,0.0023,0.263,0.843,95.558,4.33045,4,0
11,59.0,0.387,0.922,9.0,-5.192,0,0.0674,0.00487,,0.187,0.417,146.478,222947.0,4,0
12,34.0,0.585,0.381,1.0,-7.622,0,0.0463,0.435,,0.126,0.322,143.876,206875.0,4,0
13,34.0,0.462,0.374,11.0,-12.069,0,0.0331,0.949,0.929,0.131,0.174,122.939,4.44025,3,0
14,76.0,0.653,0.519,2.0,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883,153693.0,4,0
15,37.0,0.431,0.852,2.0,-6.522,1,0.0431,0.564,0.208,0.254,0.794,67.601,146800.0,4,0
16,14.0,0.713,0.939,5.0,-3.609,0,0.0372,0.11,5.88e-06,0.331,0.88,108.034,179320.0,4,0
17,31.0,0.564,0.801,1.0,-4.73,0,0.0473,0.00233,0.0078,0.067,0.401,105.01,154293.0,4,0
18,29.0,0.57,0.458,9.0,-5.935,0,0.0236,0.502,2.35e-06,0.134,0.19,93.088,217529.0,4,0
19,70.0,0.852,0.73,1.0,-5.803,1,0.0579,0.0219,,0.336,0.394,92.506,157693.0,4,0
20,48.0,0.347,0.411,6.0,-8.071,1,0.0414,0.0181,0.636,0.0975,0.395,171.991,283013.0,4,0
21,44.0,0.796,0.441,7.0,-9.83,1,0.292,0.16,2.89e-05,0.118,0.371,158.105,137872.0,4,0
22,29.0,0.805,0.448,7.0,-9.452,1,0.112,0.0602,1.79e-06,0.113,0.775,160.018,138000.0,4,0
23,44.0,0.472,0.947,9.0,-6.128,1,0.0774,9.43e-06,0.0155,0.364,0.75,98.784,309867.0,4,0
24,44.0,0.556,0.188,8.0,-12.161,1,0.0316,0.494,,0.119,0.184,138.091,145217.0,4,0
25,,0.548,0.711,10.0,-8.44,1,0.107,0.542,9.59e-05,0.355,0.618,119.675,4.015633333,3,1
26,73.0,0.867,0.517,11.0,-13.222,0,0.0875,0.00456,0.000339,0.0864,0.866,133.148,257360.0,4,0
27,35.0,0.341,0.47,5.0,-10.144,1,0.037,0.226,0.105,0.518,0.203,144.109,204280.0,4,0
28,66.0,0.733,0.726,7.0,-6.514,1,0.0371,0.379,2.58e-06,0.471,0.915,120.814,197160.0,4,0
29,30.0,0.696,0.661,6.0,-5.996,1,0.0877,0.00103,3.21e-05,0.114,0.397,121.032,180822.0,4,0
30,81.0,0.517,0.848,10.0,-4.054,1,0.0521,0.00581,,0.214,0.429,95.906,188779.0,4,0
31,4.0,0.437,0.948,5.0,-4.287,0,0.092,0.000234,,0.0876,0.517,170.023,180293.0,4,0
32,49.0,0.384,0.974,1.0,-3.647,0,0.141,0.000153,0.000247,0.226,0.155,194.842,247370.0,4,0
33,42.0,0.858,0.525,,-7.332,1,0.148,0.0443,0.00738,0.197,0.351,170.875,193962.0,4,0
34,16.0,0.297,0.0958,,-20.316,1,0.0384,0.844,0.855,0.126,0.296,80.672,3.503783333,4,0
35,29.0,0.516,0.948,2.0,-3.994,1,0.0644,0.0279,0.0564,0.15,0.957,170.087,130329.0,4,0
36,47.0,0.32,0.242,,-15.17,1,0.0422,0.941,0.93,0.165,0.431,81.09,2.817633333,4,0
37,47.0,0.661,0.407,4.0,-9.283,1,0.0412,0.713,,0.115,0.337,127.873,216695.0,4,0
38,37.0,0.569,0.751,7.0,-12.826,1,0.0418,0.365,0.856,0.0561,0.758,105.156,338292.0,4,0
39,44.0,0.357,0.977,1.0,-6.489,0,0.124,1.6e-05,0.892,0.105,0.28,159.81,233929.0,4,0
40,63.0,0.615,0.657,7.0,-6.873,1,0.029,0.000372,0.0204,0.132,0.792,109.95,185093.0,4,0
41,44.0,0.479,0.444,,-6.497,1,0.0316,0.857,,0.141,0.236,107.915,174242.0,4,0
42,65.0,0.633,0.831,4.0,-5.053,1,0.0461,0.0401,0.693,0.117,0.243,127.397,354360.0,4,0
43,,0.618,0.438,11.0,-7.495,1,0.0762,0.407,,0.5,0.651,155.014,209307.0,4,0
44,55.0,0.881,0.546,7.0,-9.357,1,0.0407,0.0532,0.000149,0.0497,0.852,102.814,320413.0,4,0
45,49.0,0.624,0.528,9.0,-9.103,0,0.0344,0.0286,0.00516,0.0866,0.33,120.049,285933.0,4,0
