,Track Name,Class,Feat,Length,WordCount,ng,Remix,Invalid
0,That's What I Like (feat. Gucci Mane),HipHop,True,37,7,False,False,False
1,Hitch a Ride,Country,False,12,3,False,False,False
2,No Side to Fall In,Alt,False,18,5,False,False,False
3,Lingo (feat. J.I & Chunkz),HipHop,True,26,5,False,False,False
4,Nobody Weird Like Me - Remastered,Country,False,33,6,False,False,False
5,Search and Destroy - Iggy Pop Mix,Alt,False,33,7,False,False,False
6,None Of Us Are Free,Alt,False,19,5,False,False,False
7,On the Other Hand,Metal,False,17,4,False,False,False
8,Slow,Acoustic_Folk,False,4,1,False,False,False
9,"דודו, יאללה יאללה",Instrumental,False,31,3,False,False,True
10,Meri Dosti Mera Pyar,Pop,False,20,4,False,False,False
11,The View From The Afternoon,Country,False,27,5,False,False,False
12,קרובה אליי,Instrumental,False,19,2,False,False,True
13,How it feels pt. 2,Blues,False,18,5,False,False,False
14,For What It's Worth,Country,False,19,4,False,False,False
15,Madison Blues,Alt,False,13,2,False,False,False
16,לא יכול בלעדייך,Instrumental,False,28,3,False,False,True
17,Drinks,Country,False,6,1,False,False,False
18,מנגינה,Instrumental,False,12,1,False,False,True
19,Baby Sitter (feat. Offset),HipHop,True,26,4,False,False,False
20,Teenage Headache Dreams (with Ellie Rowsell),Alt,False,44,6,False,False,False
21,intres-ting,Indie,False,11,1,False,False,False
22,Cut Throat,HipHop,False,10,2,False,False,False
23,Driving South,Country,False,13,2,False,False,False
24,Whiplash - Acoustic,Instrumental,False,19,3,False,False,False
25,Swagatham Krishna - Mohanam - Adi,Rock,False,33,6,False,False,False
26,U Can't Touch This,Instrumental,False,18,4,True,False,False
27,Open Eyes,Indie,False,9,2,False,False,False
28,Since You Been Gone,Acoustic_Folk,False,19,4,False,False,False
29,Private Social Network,Alt,False,22,3,False,False,False
30,love race (feat. Kellin Quinn),Instrumental,True,30,5,False,False,False
31,Mahapecha Shel Simcha,Alt,False,21,3,False,False,False
32,Negative Noise,Acoustic_Folk,False,14,2,False,False,False
33,Where Them $ @,HipHop,False,14,4,False,False,False
34,Mother's Pride,Blues,False,14,2,False,False,False
35,four days,Indie,False,9,2,False,False,False
36,Struna,Blues,False,6,1,False,False,False
37,נסיכה שלי,Instrumental,False,17,2,False,False,True
38,Bonheur,Alt,False,7,1,False,False,False
39,Crack of Doom (feat. Troy Sanders),Acoustic_Folk,True,34,6,False,False,False
40,Good,Country,False,4,1,False,False,False
41,חלקת אלוהים - השיר של אופיר,Instrumental,False,48,6,False,False,True
42,Lazy Eye,Country,False,8,2,False,False,False
43,A Song,Alt,False,6,2,False,False,False
44,Rip It Up,Alt,False,9,3,False,False,False
45,The Blackout,Country,False,12,2,False,False,False
46,תגידי לי שטוב לך,Instrumental,False,29,4,False,False,True
47,The Magnificent Seven - Remastered,Country,False,34,5,False,False,False
48,Raphaela,Blues,False,8,1,False,False,False
49,Bad Habits,Country,False,10,2,False,False,False
50,Our Song,Instrumental,False,8,2,False,False,False
51,"Kurt Vile, John Prine",Rock,False,21,4,False,False,False
52,"I Want To Take You Higher - Live at The Woodstock Music & Art Fair, August 17, 1969",Country,False,83,18,False,False,False
53,Seether,Indie,False,7,1,False,False,False
54,Life's A Mess (feat. Halsey),HipHop,True,28,5,False,False,False
55,C U,Instrumental,False,3,2,False,False,False
56,נפתלי הדג,Country,False,17,2,False,False,True
57,Self Service - Adam Faulkner / Girl Band Remix,Alt,False,46,9,False,True,False
58,Blues Comin’ On,Alt,False,17,3,False,False,False
59,Deanna,Indie,False,6,1,False,False,False
60,Lotus,Country,False,5,1,False,False,False
61,Bole Re Papihara,Pop,False,16,3,False,False,False
62,Once,Country,False,4,1,False,False,False
63,She's a Lover,Alt,False,13,3,False,False,False
64,"New York, New York",HipHop,False,18,4,False,False,False
65,Casual Sex,Indie,False,10,2,False,False,False
66,When the Hurt Is Over,Alt,False,21,5,False,False,False
67,Last Man Standing,HipHop,False,17,3,False,False,False
68,Feel so Fine,Country,False,12,3,False,False,False
69,The Medicine Man [Feat. Old Crow Medicine Show],Alt,True,47,8,False,False,False
70,Athlete,Country,False,7,1,False,False,False
71,Beautiful,HipHop,False,9,1,False,False,False
72,Stay Away (feat. Machine Gun Kelly & Goody Grace),Country,True,49,9,False,False,False
73,Rasengan,Alt,False,8,1,False,False,False
74,Sometimes Salvation,Country,False,19,2,False,False,False
75,Big Fat Bass (feat. will.i.am),Instrumental,True,30,5,False,False,False
76,Burn the Witch,Country,False,14,3,False,False,False
77,Shark Tooth,Acoustic_Folk,False,11,2,False,False,False
78,R U Mine?,Country,False,9,3,False,False,False
79,Golden Brown,Country,False,12,2,False,False,False
80,השקט של שבת,Instrumental,False,20,3,False,False,True
81,Cradle Rock,Country,False,11,2,False,False,False
82,Stand up and Shout (Cover),Acoustic_Folk,False,26,5,False,False,False
83,drivers license,Rock,False,15,2,False,False,False
84,Right Here,Alt,False,10,2,False,False,False
85,Movin' on Up,Country,False,12,3,True,False,False
86,Upstairs Boogie,Alt,False,15,2,False,False,False
